sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
04000001,04,Cao Bằng,2.5,6.5,,,,,4.6,,,,,Giáo dục kinh tế pháp luật=4.35
04000002,04,Cao Bằng,3.35,5.75,,,,,5.85,4.2,,,,
04000003,04,Cao Bằng,2.75,5.5,,,,,3.1,4,,,,
04000004,04,Cao Bằng,6.25,5,,5.75,5.75,,,,,,,
04000005,04,Cao Bằng,5.1,7,7.75,,7.5,,,,,,,
04000006,04,Cao Bằng,8.25,8,6,6.25,,,,,,,,
04000007,04,Cao Bằng,3.5,6.75,,,,,6.75,5.6,,,,
04000008,04,Cao Bằng,4.5,6,,,,,,,,,,
04000009,04,Cao Bằng,2.5,3.75,,,,,5.85,4.25,,,,
04000010,04,Cao Bằng,6,8.75,4.5,,,,6.2,,,,,
04000011,04,Cao Bằng,1.85,6.5,,3.35,,,4,,,,,
04000012,04,Cao Bằng,3.25,7.25,,,,,5.95,4.5,,,,
04000013,04,Cao Bằng,7,8,4.25,,,,,,,,,Giáo dục kinh tế pháp luật=5.25
04000014,04,Cao Bằng,6.5,5.5,,5.75,6.5,,,,,,,
04000015,04,Cao Bằng,2.25,3.25,,,,,,3.6,,,,Giáo dục kinh tế pháp luật=4.85
04000016,04,Cao Bằng,9,6.75,,8.75,7.6,,,,,,,
04000017,04,Cao Bằng,5.5,7,,3.5,5.75,,,,,,,
04000018,04,Cao Bằng,7.5,7.25,,6,,6.5,,,,,,
04000019,04,Cao Bằng,8,7.5,7.5,,7.5,,,,,,,
04000020,04,Cao Bằng,8,8.5,7.5,,,,8.25,,,,,
04000021,04,Cao Bằng,7.5,8.25,4.5,,6.25,,,,,,,
04000022,04,Cao Bằng,3.75,5,2,,,,,,,,,Giáo dục kinh tế pháp luật=4.5
04000023,04,Cao Bằng,6.25,6.25,,7,,,,,,,,Giáo dục kinh tế pháp luật=4.95
04000024,04,Cao Bằng,4.25,7.5,,,,,5.7,,,,,
04000025,04,Cao Bằng,7.25,6.75,,3.75,6.5,,,,,,,
04000026,04,Cao Bằng,2.85,4.75,2.75,2.85,,,,,,,,
04000027,04,Cao Bằng,8,5.25,,5.5,5.75,,,,,,,
04000028,04,Cao Bằng,1.7,5.75,,,,3.35,3.75,,,,,
04000029,04,Cao Bằng,5.75,6.25,,3.35,7.75,,,,,,,
04000030,04,Cao Bằng,7.25,7,,7,5.35,,,,,,,
04000031,04,Cao Bằng,9,7.75,,7.5,7.5,,,,,,,
04000032,04,Cao Bằng,7,7,4.25,5,,,,,,,,
04000033,04,Cao Bằng,3,5.25,,,,,7,,,,,Công nghệ nông nghiệp=6.75
04000034,04,Cao Bằng,3.6,4.75,,,,,5.25,,,,,Giáo dục kinh tế pháp luật=2.1
04000035,04,Cao Bằng,9.5,6.5,,8.25,8.1,,,,,,,
04000036,04,Cao Bằng,4,7.5,,,,,7,,,,,Giáo dục kinh tế pháp luật=6.1
04000037,04,Cao Bằng,6.25,5.25,4.75,5.5,,,,,,,,
04000038,04,Cao Bằng,6.5,6.5,5,,,,,,,5.5,,
04000039,04,Cao Bằng,2.5,3.25,,,,,7,3,,,,
04000040,04,Cao Bằng,5.5,7,,4.35,5,,,,,,,
04000041,04,Cao Bằng,7,7,,5,,,6.85,,,,,
04000042,04,Cao Bằng,3.75,5.5,,,,,4.25,,,,,Giáo dục kinh tế pháp luật=5.25
04000043,04,Cao Bằng,3.85,3.5,,,,,5.25,4.5,,,,
04000044,04,Cao Bằng,4.5,7.75,,4,,,,,,,,Giáo dục kinh tế pháp luật=4.6
04000045,04,Cao Bằng,4.1,7.25,,,,,,3.5,,,,Giáo dục kinh tế pháp luật=4.2
04000046,04,Cao Bằng,8,5.75,,6.1,6.1,,,,,,,
04000047,04,Cao Bằng,4,6.25,,,,,3.95,3.75,,,,
04000048,04,Cao Bằng,8.5,6.5,,5.5,5.75,,,,,,,
04000049,04,Cao Bằng,9,7.25,,9,8.1,,,,,,,
04000050,04,Cao Bằng,8,6.5,,,,,8.75,5.25,,,,
04000051,04,Cao Bằng,5.1,7,,,,5.25,6.75,,,,,
04000052,04,Cao Bằng,5,6,,2.5,,,5.75,,,,,
04000053,04,Cao Bằng,5.75,8.25,,,,,8,2.85,,,,
04000054,04,Cao Bằng,9,7.75,,8.75,7.75,,,,,,,
04000055,04,Cao Bằng,9.25,9,,5.75,7.25,,,,,,,
04000056,04,Cao Bằng,4.5,8,,,,,5.6,4.85,,,,
04000057,04,Cao Bằng,6.75,6.75,,3,4.75,,,,,,,
04000058,04,Cao Bằng,2.2,5.25,,,,,3.35,1.8,,,,
04000059,04,Cao Bằng,2.1,5,,,,,6.5,4,,,,
04000060,04,Cao Bằng,4.85,5,,,,,6,,,,,Giáo dục kinh tế pháp luật=5.75
04000061,04,Cao Bằng,6.5,7.75,3.25,,,,,6.75,,,,
04000062,04,Cao Bằng,2.85,7,,,,,6.25,4.25,,,,
04000063,04,Cao Bằng,,8.25,,,,,9.75,8.25,,,,
04000064,04,Cao Bằng,5,7.75,5,4.5,,,,,,,,
04000065,04,Cao Bằng,4.25,7,,,,,6.75,,,,,Giáo dục kinh tế pháp luật=4.5
04000066,04,Cao Bằng,3.6,5.75,3.5,2.3,,,,,,,,
04000067,04,Cao Bằng,3.1,8,,,,,7.75,,,,,
04000068,04,Cao Bằng,4.25,6.5,,,,,,5.6,,,,Giáo dục kinh tế pháp luật=5.2
04000069,04,Cao Bằng,5.75,6.25,,,,,7.25,,,,,Giáo dục kinh tế pháp luật=5.6
04000070,04,Cao Bằng,3.6,4.75,,,,,,4.75,,,,Giáo dục kinh tế pháp luật=6.1
04000071,04,Cao Bằng,9,6.75,,9.5,7.85,,,,,,,
04000072,04,Cao Bằng,3.6,5.25,,3.25,,,6.1,,,,,
04000073,04,Cao Bằng,2.6,5,,,,,4.2,3.1,,,,
04000074,04,Cao Bằng,4.75,6.25,,,,,9,6,,,,
04000075,04,Cao Bằng,6.75,8.5,,,,,9.75,7.25,,,,
04000076,04,Cao Bằng,6.5,6.25,,,,,9.5,8.75,,,,
04000077,04,Cao Bằng,6.25,7,,,,,5.7,5.85,,,,
04000078,04,Cao Bằng,6.75,8.5,,,,,9,10,,,,
04000079,04,Cao Bằng,5.5,8,3.75,,,,9.25,,,,,
04000080,04,Cao Bằng,4.25,6.5,,,,,,4.1,,,,Giáo dục kinh tế pháp luật=4.35
04000081,04,Cao Bằng,4.25,4.25,,,,,5.75,3.75,,,,
04000082,04,Cao Bằng,8.75,7.75,9.25,,,,7,,,,,
04000083,04,Cao Bằng,5.25,5.5,,,,,6.5,4,,,,
04000084,04,Cao Bằng,7.25,8,8,6,,,,,,,,
04000085,04,Cao Bằng,7,8.5,,,8,8,,,,,,
04000086,04,Cao Bằng,7.25,8.5,7.75,,,,7.75,,,,,
04000087,04,Cao Bằng,3.25,4.25,,,,,6.2,3.35,,,,
04000088,04,Cao Bằng,4.75,5,,2.6,,,3.3,,,,,
04000089,04,Cao Bằng,,6.25,,,,,,5.35,,,,Giáo dục kinh tế pháp luật=5.75
04000090,04,Cao Bằng,2.5,5.75,,,,,,2.6,,,,Giáo dục kinh tế pháp luật=3.45
04000091,04,Cao Bằng,3.75,5.75,,,,3.05,3.85,,,,,
04000092,04,Cao Bằng,3.5,6.5,,,,,6.6,5.5,,,,
