sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
08000001,08,Tuyên Quang,4.75,5.75,,,,4,4.7,,,,,
08000002,08,Tuyên Quang,3.25,4.75,,,,,5.75,,,,,Giáo dục kinh tế pháp luật=5.35
08000003,08,Tuyên Quang,3.5,5,,,,,5.25,4.1,,,,
08000004,08,Tuyên Quang,5,7.75,,,,,6.6,,,,,Giáo dục kinh tế pháp luật=6.5
08000005,08,Tuyên Quang,3.1,6.5,,,,,5.75,5.35,,,,
08000006,08,Tuyên Quang,4.35,5.75,,,,,4.5,,,,,Giáo dục kinh tế pháp luật=4.5
08000007,08,Tuyên Quang,4.75,6.25,,,,,7,6.75,,,,
08000008,08,Tuyên Quang,3.25,7.25,,,,,5.25,2.1,,,,
08000009,08,Tuyên Quang,4.5,6.75,,,,,7.5,5.25,,,,
08000010,08,Tuyên Quang,3.35,6,,,,,5.45,,,,,Giáo dục kinh tế pháp luật=5.1
08000011,08,Tuyên Quang,3,7.5,,,,,5.25,6.5,,,,
08000012,08,Tuyên Quang,2.35,4,,,,,6.25,5.6,,,,
08000013,08,Tuyên Quang,4.25,5.5,,,,3.85,5.5,,,,,
08000014,08,Tuyên Quang,3.6,3.75,,,,,4.6,3.95,,,,
08000015,08,Tuyên Quang,1.95,6,,,,,5.6,5,,,,
08000016,08,Tuyên Quang,5,7,,,,,7.6,6.25,,,,
08000017,08,Tuyên Quang,2.6,4.5,,,,,5.35,,,,,Giáo dục kinh tế pháp luật=4.6
08000018,08,Tuyên Quang,5.25,8,,,,,7.1,6,,,,
08000019,08,Tuyên Quang,2.85,7.5,,,,,7.5,6.85,,,,
08000020,08,Tuyên Quang,2.5,6.5,,,,,6.5,3.6,,,,
08000021,08,Tuyên Quang,9,,,6.75,7,,,,,,,
08000022,08,Tuyên Quang,5.5,5.5,,,,4.5,5.85,,,,,
08000023,08,Tuyên Quang,2.35,5.5,,,,,4.35,,,,,Giáo dục kinh tế pháp luật=3.7
08000024,08,Tuyên Quang,3.3,6.25,,,,,4.5,3.25,,,,
08000025,08,Tuyên Quang,3.35,4.5,,,,,5,,,,,Giáo dục kinh tế pháp luật=6.5
08000026,08,Tuyên Quang,2.5,6.5,,,,,4.5,,,,,Giáo dục kinh tế pháp luật=3.5
08000027,08,Tuyên Quang,5.5,7,,,,,8.5,8,,,,
08000028,08,Tuyên Quang,2.25,6.5,,,,,6.25,,,,,Giáo dục kinh tế pháp luật=5.25
08000029,08,Tuyên Quang,5,6.25,,,,,7.25,,,,,Giáo dục kinh tế pháp luật=5.7
08000030,08,Tuyên Quang,3.75,6.75,,,,,6.2,3.75,,,,
08000031,08,Tuyên Quang,6.25,5.75,,,,,6.5,,,,,Giáo dục kinh tế pháp luật=6.85
