sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
11000001,11,Điện Biên,,6,,,,,5.75,4.5,,,,
11000002,11,Điện Biên,5.75,6.5,3.75,,,,8,,,,,
11000003,11,Điện Biên,6.5,4.5,,4.5,6.35,,,,,,,
11000004,11,Điện Biên,5.75,8,,,,,,6.5,,,,Giáo dục kinh tế pháp luật=4.35
11000005,11,Điện Biên,5.6,5.75,4,3.75,,,,,,,,
11000006,11,Điện Biên,2.35,7.75,3.5,,,,,2.75,,,,
11000007,11,Điện Biên,3,7.75,6,,,,,,,,,Giáo dục kinh tế pháp luật=4.75
11000008,11,Điện Biên,4.25,7,5.5,,,,8.5,,,,,
11000010,11,Điện Biên,4.75,4.5,,,3.85,4.25,,,,,,
11000011,11,Điện Biên,7.5,6,,5.25,5.25,,,,,,,
11000012,11,Điện Biên,5,7.75,,,,,3.75,3.35,,,,
11000013,11,Điện Biên,6,6.75,,3.5,4.6,,,,,,,
11000014,11,Điện Biên,4.75,6.25,,3.1,4.5,,,,,,,
11000015,11,Điện Biên,3.35,8.75,,,,,9.25,7.25,,,,
11000016,11,Điện Biên,4.25,4.25,4.5,,,,,,,,,
11000017,11,Điện Biên,7.25,5.5,,2.45,5.1,,,,,,,
11000018,11,Điện Biên,,5,,,,,7.5,4.75,,,,
11000019,11,Điện Biên,3.75,6.75,2.75,3.1,,,,,,,,
11000021,11,Điện Biên,4.25,7.75,,,,,7.75,4.85,,,,
11000022,11,Điện Biên,4,7,,,,,8.5,6.5,,,,
11000023,11,Điện Biên,4.75,,,3,2.6,,,,,,,
11000024,11,Điện Biên,3.35,7.5,,2.1,,,7,,,,,
11000025,11,Điện Biên,6,6.25,,5,4.35,,,,,,,
11000026,11,Điện Biên,6.25,8,6.5,,,,,8,,,,
11000027,11,Điện Biên,7.25,7.75,4.25,4.25,,,,,,,,
11000028,11,Điện Biên,4.75,6.75,,,,,7.75,6.1,,,,
11000029,11,Điện Biên,4.75,8,4.5,,,,,,,,,Giáo dục kinh tế pháp luật=5.6
11000030,11,Điện Biên,5.6,7,7,,,,,,,,,
11000031,11,Điện Biên,2,6,,,,,4,3.1,,,,
11000033,11,Điện Biên,4.5,7,,,,,,,,,,
11000034,11,Điện Biên,7.5,6.75,,,6.1,6.6,,,,,,
11000035,11,Điện Biên,4,7,,,,,8.5,4,,,,
11000036,11,Điện Biên,5.5,6.5,,3.75,5,,,,,,,
11000037,11,Điện Biên,2.75,6.25,,,,,7.5,,,,,
11000038,11,Điện Biên,4.6,7.5,7,,,,,,,,,Giáo dục kinh tế pháp luật=7
11000039,11,Điện Biên,,7,,,,,8,6.25,,,,
