sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
12000001,12,Lai Châu,4,,,4.35,3.75,,,,,,,
12000002,12,Lai Châu,6.25,8.25,8.5,6.75,,,,,,,,
12000003,12,Lai Châu,8.25,3.75,6.25,4.25,,,,,,,,
12000004,12,Lai Châu,7.5,8.75,6.5,,,,,,,,,Giáo dục kinh tế pháp luật=6
12000005,12,Lai Châu,5.5,9,,,,,6.1,6.5,,,,
12000006,12,Lai Châu,6.5,,,4.75,5.5,,,,,,,
12000007,12,Lai Châu,3.5,,,,1.85,4.5,,,,,,
12000008,12,Lai Châu,9.5,7,3.75,8,,,,,,,,
12000009,12,Lai Châu,7.75,8.25,5.5,6.75,,,,,,,,
12000010,12,Lai Châu,9,8.75,,8.75,8.25,,,,,,,
12000011,12,Lai Châu,,7.75,,,,,7.75,7.25,,,,
12000012,12,Lai Châu,8,8.5,5,5.25,,,,,,,,
12000013,12,Lai Châu,6.75,5.75,,8,3.85,,,,,,,
12000014,12,Lai Châu,,7,4.75,,,,7.1,,,,,
12000015,12,Lai Châu,8.5,9.25,7.5,7.25,,,,,,,,
12000016,12,Lai Châu,9,8.25,,,8.5,7.75,,,,,,
12000017,12,Lai Châu,4.75,7,,,,,8,3.1,,,,
12000018,12,Lai Châu,6.25,9.25,4.75,,,,9.5,,,,,
12000019,12,Lai Châu,8,8.5,5.5,8.5,,,,,,,,
12000020,12,Lai Châu,7.75,8.25,7.5,5.25,,,,,,,,
12000021,12,Lai Châu,9,8.75,7.25,7.25,,,,,,,,
12000022,12,Lai Châu,6,8.25,,,,,7.5,6.75,,,,
12000023,12,Lai Châu,7.25,,,5.5,4.75,,,,,,,
12000024,12,Lai Châu,6.75,8.75,,,,,7.25,,,6.75,,
12000025,12,Lai Châu,,7.75,3.5,,,,,4.6,,,,
12000026,12,Lai Châu,9.5,7,,8.75,8.75,,,,,,,
12000027,12,Lai Châu,7.5,8,,,7.25,8.25,,,,,,
12000028,12,Lai Châu,7.5,8,,6,7,,,,,,,
12000029,12,Lai Châu,3.35,8.5,,,,,7,8.25,,,,
12000030,12,Lai Châu,7,8.5,,5,,,,,,6.35,,
12000031,12,Lai Châu,7.5,8.5,5.25,,,,6.5,,,,,
12000032,12,Lai Châu,4.75,6.75,,4.6,5.25,,,,,,,
12000033,12,Lai Châu,,8.5,,,,,9.75,6.75,,,,
12000034,12,Lai Châu,8,8.25,,,8.5,8.25,,,,,,
12000035,12,Lai Châu,,8.25,,,,,,,,,,
12000036,12,Lai Châu,8.25,7,6.75,7,,,,,,,,
12000037,12,Lai Châu,6.75,,5,6,,,,,,,,
12000038,12,Lai Châu,10,6.25,5,9,,,,,,,,
12000039,12,Lai Châu,6.5,7.5,,7,8.25,,,,,,,
12000040,12,Lai Châu,,7.75,,,,,6.35,6.5,,,,
12000041,12,Lai Châu,7.5,7,6,5.1,,,,,,,,
12000042,12,Lai Châu,7.5,7,,7.5,8,,,,,,,
12000043,12,Lai Châu,6,5.5,,5.5,6.35,,,,,,,
12000045,12,Lai Châu,6.5,7.75,4.25,,,,,7.5,,,,
12000046,12,Lai Châu,7.5,7,5.5,,,,8.25,,,,,
12000047,12,Lai Châu,8,8.5,4.5,8.25,,,,,,,,
12000048,12,Lai Châu,7.5,,,,5.75,7.25,,,,,,
12000049,12,Lai Châu,,7.5,,,,,8.1,5.5,,,,
12000050,12,Lai Châu,,4.5,,,,,6.5,3.75,,,,
12000051,12,Lai Châu,4.85,7,,,,,6,3.3,,,,
12000052,12,Lai Châu,7.25,8.5,,,,,5.1,4.85,,,,
12000053,12,Lai Châu,8.5,8,3,7.25,,,,,,,,
12000054,12,Lai Châu,5.75,9,,,,,9.75,8.5,,,,
12000055,12,Lai Châu,6.5,8.25,4.5,,,,8,,,,,
12000056,12,Lai Châu,8,8.25,4.5,4.5,,,,,,,,
12000057,12,Lai Châu,7,8.75,3.75,,,,6.75,,,,,
12000058,12,Lai Châu,8,8.25,7.5,5.75,,,,,,,,
12000059,12,Lai Châu,7.75,7.75,7,,,,9.5,,,,,
12000060,12,Lai Châu,,6.25,,,,,4.5,5.25,,,,
12000061,12,Lai Châu,8.25,7.75,,6,6.25,,,,,,,
12000062,12,Lai Châu,,8,,,,,5.45,3.75,,,,
12000063,12,Lai Châu,,6.25,,,,,8.1,6.5,,,,
12000064,12,Lai Châu,8.5,7,,,8,7.75,,,,,,
12000065,12,Lai Châu,4.75,7,,,,,6.6,6.75,,,,
12000066,12,Lai Châu,7.75,8.75,,,,,8.25,8,,,,
12000067,12,Lai Châu,7.5,8,,,,6.25,7.5,,,,,
12000068,12,Lai Châu,9,8,7.5,7.75,,,,,,,,
12000069,12,Lai Châu,8.25,8.5,,9.75,6.35,,,,,,,
12000070,12,Lai Châu,,4.5,,,,,7.75,3.5,,,,
12000071,12,Lai Châu,3.25,8.25,,,,,6.1,4.25,,,,
12000072,12,Lai Châu,3.85,6.25,,,,,6.75,5.5,,,,
12000073,12,Lai Châu,,6.75,,,,,8.5,6,,,,
12000074,12,Lai Châu,7.5,8,6.75,5.25,,,,,,,,
12000075,12,Lai Châu,6,6,,4.5,4.95,,,,,,,
12000076,12,Lai Châu,6.75,6.5,6.5,6,,,,,,,,
12000077,12,Lai Châu,5.25,6.75,,,,,7.25,,,,,Giáo dục kinh tế pháp luật=4.6
12000078,12,Lai Châu,7.25,8.25,,7.75,7.75,,,,,,,
12000079,12,Lai Châu,,6.5,,,,,5.35,4.25,,,,
12000080,12,Lai Châu,8.75,8.25,,,7.5,8.25,,,,,,
12000081,12,Lai Châu,5.25,,,6,6.85,,,,,,,
12000082,12,Lai Châu,9,6.75,,9.25,9.25,,,,,,,
12000083,12,Lai Châu,,5,,,,,6.2,5.25,,,,
12000084,12,Lai Châu,8,7.5,,7,7,,,,,,,
12000085,12,Lai Châu,8.5,5.25,,4.45,6.25,,,,,,,
12000086,12,Lai Châu,6.25,7,,5.5,5.75,,,,,,,
12000087,12,Lai Châu,5.75,8.5,4.25,,,6,,,,,,
12000088,12,Lai Châu,,9,,,,,9.5,7.75,,,,
12000089,12,Lai Châu,3.1,8.75,,,,,8.25,7.75,,,,
12000090,12,Lai Châu,4.25,8,,3.35,,,6,,,,,
12000091,12,Lai Châu,4,7.5,,3.35,,,8,,,,,
12000092,12,Lai Châu,8,6,,7.5,,5.75,,,,,,
12000093,12,Lai Châu,,4.5,,,,,9,5.75,,,,
12000094,12,Lai Châu,8,8.25,6.25,6,,,,,,,,
12000095,12,Lai Châu,9,6,,5.5,5.5,,,,,,,
12000096,12,Lai Châu,8,7.5,4.75,8,,,,,,,,
12000097,12,Lai Châu,8,6.25,3.75,5,,,,,,,,
12000098,12,Lai Châu,8,6.75,5.25,7,,,,,,,,
12000099,12,Lai Châu,10,7.75,,7.25,8.75,,,,,,,
12000100,12,Lai Châu,7.75,7.75,,9,9.5,,,,,,,
12000101,12,Lai Châu,9.5,7.75,,7.75,7.35,,,,,,,
12000102,12,Lai Châu,8,6.75,,7.75,7.25,,,,,,,
12000103,12,Lai Châu,9,8,,8.25,7.75,,,,,,,
12000104,12,Lai Châu,8.25,7.75,5.5,7.25,,,,,,,,
12000105,12,Lai Châu,8.25,8,6,5.5,,,,,,,,
12000106,12,Lai Châu,3.5,6.75,4.5,,,,5.6,,,,,
12000107,12,Lai Châu,,6,,,,,7,5.25,,,,
12000108,12,Lai Châu,5.75,7.25,,4.75,,,4.95,,,,,
12000109,12,Lai Châu,7.75,8.25,,5.75,8,,,,,,,
12000110,12,Lai Châu,6.25,8.5,,,,,6.25,5.85,,,,
12000111,12,Lai Châu,,7.75,,,,,8.85,8.25,,,,
12000112,12,Lai Châu,5,9,6.75,,,,6.25,,,,,
12000113,12,Lai Châu,4.75,8.75,,,,,8.75,9.5,,,,
12000114,12,Lai Châu,5.25,8.5,,,,,8.25,5.5,,,,
12000115,12,Lai Châu,7.25,9,6,7.25,,,,,,,,
12000116,12,Lai Châu,6.35,7,6,,,,5.6,,,,,
12000117,12,Lai Châu,6.25,8,,,,,8.5,6.25,,,,
12000118,12,Lai Châu,6.75,7.5,,5.5,7.5,,,,,,,
12000119,12,Lai Châu,5.5,6.75,,,,,7.75,7,,,,
12000120,12,Lai Châu,5.75,8.25,,,,,7,5.1,,,,
12000121,12,Lai Châu,,4.5,,,,,4.6,2.7,,,,
12000122,12,Lai Châu,8.25,8.75,,7.75,7,,,,,,,
12000123,12,Lai Châu,5.5,8.25,,,,,7.75,7,,,,
12000124,12,Lai Châu,6.5,9,6.5,,,,9,,,,,
12000125,12,Lai Châu,8,8.5,,,9,9.75,,,,,,
12000126,12,Lai Châu,6.75,8.5,8.25,3.95,,,,,,,,
12000127,12,Lai Châu,7.25,,5,6,,,,,,,,
12000128,12,Lai Châu,4.5,6.25,,,,4.25,5.5,,,,,
12000129,12,Lai Châu,5.25,,4,6.25,,,,,,,,
12000130,12,Lai Châu,8.5,7.5,4,8.75,,,,,,,,
12000131,12,Lai Châu,7.75,8.75,7.75,6.25,,,,,,,,
12000132,12,Lai Châu,6.5,6,5,7,,,,,,,,
12000133,12,Lai Châu,8.5,,,6.25,4.25,,,,,,,
12000134,12,Lai Châu,7.75,6.75,4,5.1,,,,,,,,
12000135,12,Lai Châu,5.5,8.25,,,,,7.35,7.5,,,,
12000136,12,Lai Châu,6.5,7,4.25,5.25,,,,,,,,
12000137,12,Lai Châu,7.25,8,4,7.5,,,,,,,,
12000138,12,Lai Châu,,3.75,,,,,5.75,4,,,,
12000139,12,Lai Châu,7.75,6.75,,6.25,6.75,,,,,,,
12000140,12,Lai Châu,4.75,7.25,2.5,,,,6.7,,,,,
12000141,12,Lai Châu,5.25,,,3.7,4.35,,,,,,,
12000142,12,Lai Châu,4.5,,,3.1,3.6,,,,,,,
12000143,12,Lai Châu,6.5,,4.25,4.25,,,,,,,,
12000144,12,Lai Châu,5,8,5.25,,,,,,,,,Giáo dục kinh tế pháp luật=4.6
12000145,12,Lai Châu,,7.75,,,,,8,6.1,,,,
12000146,12,Lai Châu,4.85,6.25,,,,,4.5,,,,,Giáo dục kinh tế pháp luật=3.6
12000147,12,Lai Châu,,6.75,,,,,7.75,7.75,,,,
12000148,12,Lai Châu,,4.5,,,,,6.1,5,,,,
12000149,12,Lai Châu,6,7.25,3.75,,,6.25,,,,,,
12000150,12,Lai Châu,5.1,7.5,6.25,2.75,,,,,,,,
12000151,12,Lai Châu,4.5,7.5,,,,,5.5,2.5,,,,
12000152,12,Lai Châu,8.25,4.5,,9,9.25,,,,,,,
12000153,12,Lai Châu,6,7.25,,5.1,6.25,,,,,,,
12000154,12,Lai Châu,9.5,7.25,,9.75,9.75,,,,,,,
12000155,12,Lai Châu,6.5,7.5,3,,,,5.5,,,,,
12000156,12,Lai Châu,5.75,6.5,,,5.25,4.45,,,,,,
12000157,12,Lai Châu,8,8.75,5.75,5.75,,,,,,,,
12000158,12,Lai Châu,5.35,7.75,,,,,6.1,6.75,,,,
12000159,12,Lai Châu,7.5,8.25,7,,,,8.75,,,,,
12000160,12,Lai Châu,6,8.5,5.75,,,,8.25,,,,,
12000161,12,Lai Châu,2.85,5.5,,,,,,3.1,,,,Công nghệ nông nghiệp=7
12000162,12,Lai Châu,9,7.75,7,9.25,,,,,,,,
12000163,12,Lai Châu,7.25,7.5,,,7.25,7.5,,,,,,
12000164,12,Lai Châu,8.75,7.5,,7,7,,,,,,,
12000165,12,Lai Châu,6.5,7.75,5,,,,8.5,,,,,
12000166,12,Lai Châu,3.85,7.5,3.25,,,,,4.5,,,,
12000167,12,Lai Châu,4.25,7.25,,,,,4.85,3.6,,,,
12000168,12,Lai Châu,9,8.25,,7.5,7.25,,,,,,,
12000169,12,Lai Châu,7.75,,,7.25,7.25,,,,,,,
12000170,12,Lai Châu,6,8.75,6.25,5.1,,,,,,,,
12000171,12,Lai Châu,7.5,7.25,,,,,5.5,5.1,,,,
12000172,12,Lai Châu,8.75,8,6.25,7.1,,,,,,,,
12000173,12,Lai Châu,7.5,6.5,5.75,5,,,,,,,,
12000174,12,Lai Châu,4.25,6.5,,,,,5.95,6.75,,,,
12000176,12,Lai Châu,,5.25,,,,,6.75,5,,,,
12000177,12,Lai Châu,8.75,,,7.25,7.25,,,,,,,
12000178,12,Lai Châu,,3.5,,,,,5.75,5,,,,
12000179,12,Lai Châu,3.5,7,,,,,6.75,5,,,,
12000180,12,Lai Châu,,4.25,,,,,5.25,3.6,,,,
12000181,12,Lai Châu,4.75,8.75,,,,,9.25,8,,,,
12000182,12,Lai Châu,7.75,5.75,,5,5.6,,,,,,,
12000183,12,Lai Châu,4.75,7,,,,,8.5,7.25,,,,
12000184,12,Lai Châu,7.5,8.75,3.5,,,,9.25,,,,,
12000185,12,Lai Châu,8.25,8,,5.85,4.85,,,,,,,
12000186,12,Lai Châu,8,9,6.25,,7.25,,,,,,,
12000187,12,Lai Châu,7.25,9,,,,,8.5,6.5,,,,
12000188,12,Lai Châu,6,8.5,,,,,8,7.25,,,,
12000189,12,Lai Châu,9,7.5,7,7.5,,,,,,,,
12000190,12,Lai Châu,4.75,8,,,,,6.75,5.6,,,,
12000191,12,Lai Châu,5.25,6.5,,2.85,2.6,,,,,,,
12000192,12,Lai Châu,4.6,8,,,,,6.6,,,,,Giáo dục kinh tế pháp luật=4.1
12000193,12,Lai Châu,5.75,8,,,,,8,7.5,,,,
12000194,12,Lai Châu,5.5,7.25,5,3.85,,,,,,,,
12000195,12,Lai Châu,5.25,7.5,,,,,5.95,5,,,,
12000196,12,Lai Châu,7.5,9.25,,,,,9.25,7.5,,,,
12000197,12,Lai Châu,5.25,7.5,,,,,6,5.6,,,,
12000198,12,Lai Châu,8.25,8.25,3,6.25,,,,,,,,
12000199,12,Lai Châu,4.5,8.5,,,,,9,8.75,,,,
12000200,12,Lai Châu,8.5,8.75,3.5,7.25,,,,,,,,
12000201,12,Lai Châu,8,8.75,6.25,,6.75,,,,,,,
12000202,12,Lai Châu,8.25,9,7.75,5.75,,,,,,,,
12000203,12,Lai Châu,7.75,8.5,5.25,7.25,,,,,,,,
12000204,12,Lai Châu,6,7.75,,3.7,3.7,,,,,,,
12000205,12,Lai Châu,8.5,8.5,5.5,8.25,,,,,,,,
12000206,12,Lai Châu,7.5,6.25,8,5.1,,,,,,,,
12000207,12,Lai Châu,,4.75,,,,,3.5,4.5,,,,
12000208,12,Lai Châu,7.75,,,7,6.25,,,,,,,
12000209,12,Lai Châu,3.5,7.25,,,,,5.75,5,,,,
12000210,12,Lai Châu,5,6.75,,,,,7.35,6.25,,,,
12000211,12,Lai Châu,6.75,7.25,,,,,8,6,,,,
12000212,12,Lai Châu,6.75,8.5,,4.6,,,,,,,,
12000213,12,Lai Châu,,7.75,,,,,8.1,8.25,,,,
12000214,12,Lai Châu,,7.25,,,,,10,7.25,,,,
12000215,12,Lai Châu,3,,,2.85,2.6,,,,,,,
12000216,12,Lai Châu,7.5,8.75,,,8.5,8,,,,,,
12000217,12,Lai Châu,9,8,,5.5,7.5,,,,,,,
12000218,12,Lai Châu,5.6,8.5,,,4.85,5.75,,,,,,
12000219,12,Lai Châu,9,8.75,6.25,,8.25,,,,,,,
12000220,12,Lai Châu,7,7.75,5,,5,,,,,,,
12000221,12,Lai Châu,5,8.75,,,,,8.75,6.75,,,,
12000222,12,Lai Châu,5.75,8.75,,,,,7.75,8,,,,
12000223,12,Lai Châu,4.5,8.5,,,3.5,,5,,,,,
12000224,12,Lai Châu,4.75,8,,,,,7.75,5.25,,,,
12000225,12,Lai Châu,7.5,8.5,,7.75,7,,,,,,,
12000226,12,Lai Châu,8.5,8,,7.5,5.5,,,,,,,
12000228,12,Lai Châu,,8.5,,,,,7.25,6.5,,,,
12000229,12,Lai Châu,6.6,7,,4.35,4.75,,,,,,,
12000230,12,Lai Châu,,7,,,,,8.75,4.25,,,,
12000231,12,Lai Châu,8.5,7.75,,,8.35,9,,,,,,
12000232,12,Lai Châu,10,7,,8.75,8.5,,,,,,,
12000233,12,Lai Châu,8,7.5,6.25,6.5,,,,,,,,
12000234,12,Lai Châu,8.5,8.5,6.5,,,,,5.5,,,,
12000235,12,Lai Châu,7.25,6.75,6,6.5,,,,,,,,
12000236,12,Lai Châu,8,5.75,4.25,7.75,,,,,,,,
12000237,12,Lai Châu,9,7,4.75,8,,,,,,,,
12000238,12,Lai Châu,4.1,7,,,,4.75,4.85,,,,,
12000239,12,Lai Châu,9.5,7.5,7.75,7.25,,,,,,,,
12000240,12,Lai Châu,7.75,8.5,5.25,,,,8,,,,,
12000241,12,Lai Châu,5.5,8.25,5.5,,,,,,,,,Giáo dục kinh tế pháp luật=6.25
12000242,12,Lai Châu,6.5,8.75,,,,,8.25,8.5,,,,
12000243,12,Lai Châu,5.25,7,4,,,,7,,,,,
12000244,12,Lai Châu,8,7.75,,6.25,7.75,,,,,,,
12000245,12,Lai Châu,4,6.25,,,,4.75,4.1,,,,,
12000246,12,Lai Châu,8,8.5,7.75,,,,6.75,,,,,
12000247,12,Lai Châu,5.25,7.25,,,,,5.25,5.75,,,,
12000248,12,Lai Châu,4.75,8,7.5,,,,8.25,,,,,
12000249,12,Lai Châu,8.5,8.75,6.5,6.75,,,,,,,,
12000251,12,Lai Châu,4.75,8.75,,,,,7.6,,,,,Giáo dục kinh tế pháp luật=7.5
12000252,12,Lai Châu,9,7.5,3,6.75,,,,,,,,
12000253,12,Lai Châu,9,7.25,5,6.25,,,,,,,,
12000254,12,Lai Châu,8.25,8.25,5.75,4.75,,,,,,,,
12000255,12,Lai Châu,7,7,3,,,,5.2,,,,,
12000256,12,Lai Châu,7.25,8.75,7.25,,,,8.75,,,,,
12000257,12,Lai Châu,6.75,7.75,,5.1,,,,7,,,,
12000258,12,Lai Châu,8,7.75,7.5,5.5,,,,,,,,
12000259,12,Lai Châu,8,6.5,5.25,5.6,,,,,,,,
12000260,12,Lai Châu,8.25,9,7.25,6.75,,,,,,,,
12000261,12,Lai Châu,5,8.25,,,,,9,6.75,,,,
12000262,12,Lai Châu,7.25,7.75,3.75,,8,,,,,,,
12000263,12,Lai Châu,5,7.25,,,,,8,,,,,Giáo dục kinh tế pháp luật=5.5
12000264,12,Lai Châu,5.75,8.25,,,,,7,5.5,,,,
12000265,12,Lai Châu,6,8,3.25,,,,8.75,,,,,
12000266,12,Lai Châu,7.25,9.25,5.75,,4.75,,,,,,,
12000267,12,Lai Châu,8.25,9,7.75,8,,,,,,,,
12000268,12,Lai Châu,8,8.5,8.25,,7.5,,,,,,,
12000269,12,Lai Châu,4.5,7,,,,,7,5.5,,,,
12000270,12,Lai Châu,4.5,8,,,,,4.25,5.25,,,,
12000271,12,Lai Châu,8.5,6.25,6,8.75,,,,,,,,
12000272,12,Lai Châu,8.5,8.5,6.75,9,,,,,,,,
12000274,12,Lai Châu,3.75,8,,,,,7.5,6.35,,,,
12000275,12,Lai Châu,8,8.75,4.75,,6.5,,,,,,,
12000276,12,Lai Châu,8.5,8.25,6.5,8.5,,,,,,,,
12000277,12,Lai Châu,5.25,8,,,,,7.75,7.25,,,,
12000278,12,Lai Châu,8.5,9.25,4.25,6.5,,,,,,,,
12000279,12,Lai Châu,4.5,6.25,,,,,4.7,4.2,,,,
12000280,12,Lai Châu,6,8.5,5,,,,7,,,,,
12000281,12,Lai Châu,5.25,6.25,,4,,,7,,,,,
12000282,12,Lai Châu,,7.5,,,,,7.25,6.25,,,,
12000283,12,Lai Châu,4.25,7.25,,,,,4.85,4.5,,,,
12000284,12,Lai Châu,6.5,8,5.5,5,,,,,,,,
12000285,12,Lai Châu,,6,,,,,6.25,4.45,,,,
12000286,12,Lai Châu,6,8,,,,,7,5.1,,,,
12000287,12,Lai Châu,,7.5,,,,,6.5,7.5,,,,
12000288,12,Lai Châu,,7,,,,,,5.5,,,,Giáo dục kinh tế pháp luật=4.35
12000289,12,Lai Châu,6.5,,,6.6,7.5,,,,,,,
12000290,12,Lai Châu,3.35,5.75,,,,,6.25,,,,,
12000291,12,Lai Châu,,5,,,,,2.95,2.25,,,,
12000292,12,Lai Châu,5,8.5,6,,,,9.25,,,,,
12000293,12,Lai Châu,7.5,8.25,,7,7.75,,,,,,,
