sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
14000001,14,Sơn La,5.1,6.5,,,,,7.75,,,,,Giáo dục kinh tế pháp luật=6.75
14000003,14,Sơn La,,4.5,,,,,,,,,,
14000004,14,Sơn La,,3.5,,,,,6.35,6,,,,
14000005,14,Sơn La,,4.25,,,,,4.6,3,,,,
14000006,14,Sơn La,6,6,,,,,9,5.25,,,,
14000007,14,Sơn La,4.25,5.5,,,,5.25,4.95,,,,,
14000008,14,Sơn La,,4.5,,,,,7,5.75,,,,
14000009,14,Sơn La,,4.5,,,,,5.25,4.1,,,,
14000010,14,Sơn La,6,5,,4.45,5,,,,,,,
14000011,14,Sơn La,,5,,,,,6.95,3.85,,,,
14000012,14,Sơn La,4,5.25,6.5,,,,,,,,,Giáo dục kinh tế pháp luật=7
14000013,14,Sơn La,,4,,,,,4.5,,,,,Giáo dục kinh tế pháp luật=3.25
14000014,14,Sơn La,5.25,5.5,,,,5.5,7,,,,,
14000015,14,Sơn La,3.75,7.5,,,,,7.5,6.25,,,,
14000016,14,Sơn La,2.25,,,,,,4.25,2.35,,,,
14000017,14,Sơn La,3.5,6.75,,,,,6.25,5.45,,,,
14000018,14,Sơn La,5.75,6,,,,,6.75,,,,,Giáo dục kinh tế pháp luật=5.5
14000019,14,Sơn La,4,3.5,,,,,,3,,,,
14000020,14,Sơn La,2.25,3.25,,,,,5.25,,,,,
14000021,14,Sơn La,,5.25,,,,,8.5,5.45,,,,
14000022,14,Sơn La,,6.75,,,,,8.25,7,,,,
14000023,14,Sơn La,5.25,8,,,,,9.5,7.25,,,,
14000024,14,Sơn La,5.5,6.5,4,,,,10,,,,,
14000025,14,Sơn La,,6.25,,,,,,,,,,
14000026,14,Sơn La,,4.83,,,,,7.6,,,,,Giáo dục kinh tế pháp luật=5.5
14000027,14,Sơn La,3.5,5.5,,,,,7.1,4.75,,,,
14000028,14,Sơn La,5,6,,,,,7.35,,,,,Giáo dục kinh tế pháp luật=4.45
14000029,14,Sơn La,,5,,,,,7.75,3.7,,,,
14000030,14,Sơn La,6,5,,,,,9.25,7.25,,,,
14000031,14,Sơn La,4.25,5.5,,5.25,,,,,,5.75,,
14000032,14,Sơn La,4.1,4.5,,,,,6.75,5.75,,,,
14000033,14,Sơn La,,3.75,,,,,4.6,2.25,,,,
14000035,14,Sơn La,,2.5,,,,,5.1,,,,,Giáo dục kinh tế pháp luật=1.4
14000036,14,Sơn La,7.5,5,,4,6,,,,,,,
14000037,14,Sơn La,,4.25,,,,,4.6,3,,,,
14000038,14,Sơn La,5.25,6.25,,,,6,8.75,,,,,
14000039,14,Sơn La,5,6.75,,,,,7,,,,,Giáo dục kinh tế pháp luật=5
14000040,14,Sơn La,2.6,3.75,,,,,4.5,3,,,,
14000041,14,Sơn La,1.95,4,,,,,9.25,,,,,Giáo dục kinh tế pháp luật=6.5
14000042,14,Sơn La,8.5,7,,8.25,7.75,,,,,,,
14000043,14,Sơn La,5.75,7,,6.25,,5.85,,,,,,
14000044,14,Sơn La,7.75,,,7.25,8,,,,,,,
14000045,14,Sơn La,,4.5,,,,,8.75,6.5,,,,
14000046,14,Sơn La,,5.25,,,,,9,4.85,,,,
14000047,14,Sơn La,,4.5,,,,,8.1,6.25,,,,
14000048,14,Sơn La,,3.75,,,,,7.5,5,,,,
14000049,14,Sơn La,5.75,4.75,,,,,7.75,4.6,,,,
14000050,14,Sơn La,,2.75,,,,,6.25,,,,,Giáo dục kinh tế pháp luật=4.7
14000051,14,Sơn La,,4.5,,,,,,2.85,,,,Giáo dục kinh tế pháp luật=4.55
14000052,14,Sơn La,2,4,,,,,,3.25,,,,Giáo dục kinh tế pháp luật=3.05
