sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
15000001,15,Lào Cai,7,7.75,6,4.85,,,,,,,,
15000002,15,Lào Cai,3,6.5,,,,,6.25,,,,,Giáo dục kinh tế pháp luật=5.1
15000003,15,Lào Cai,6,6.75,,4.75,,,9.75,,,,,
15000004,15,Lào Cai,2.35,4.75,,,,,5.5,,,,,Giáo dục kinh tế pháp luật=5.1
15000005,15,Lào Cai,6.5,5.75,,5,4,,,,,,,
15000006,15,Lào Cai,6,6.25,,7,7.6,,,,,,,
15000007,15,Lào Cai,5.5,4.5,,,5.75,4.35,,,,,,
15000008,15,Lào Cai,5.5,5,,,4,,7.25,,,,,
15000009,15,Lào Cai,8.25,8,4.5,,,,9,,,,,
15000010,15,Lào Cai,6.25,7.5,3.5,3.6,,,,,,,,
15000011,15,Lào Cai,6,7,,5,7,,,,,,,
15000012,15,Lào Cai,7.25,7,6.5,6,,,,,,,,
15000013,15,Lào Cai,6.25,2.75,,,5.75,7.5,,,,,,
15000014,15,Lào Cai,4.75,5.5,6.25,,,,5.5,,,,,
15000015,15,Lào Cai,7.75,5.5,,7,6.5,,,,,,,
15000016,15,Lào Cai,7.75,6.5,,,5.25,7,,,,,,
15000017,15,Lào Cai,2.85,5.25,,,,,,4,,,,Công nghệ nông nghiệp=6
15000018,15,Lào Cai,5.5,6.75,,,,,6.75,,,,,Giáo dục kinh tế pháp luật=3.95
15000019,15,Lào Cai,3,5.75,,,,,4.6,,,,,Giáo dục kinh tế pháp luật=6
15000020,15,Lào Cai,2.6,5,,,,,4.25,2.7,,,,
15000021,15,Lào Cai,,6.25,,,,,,7.25,,,,
15000022,15,Lào Cai,8.5,6.75,,,7.85,8,,,,,,
15000023,15,Lào Cai,7.25,7.25,4.75,,,,6.7,,,,,
15000024,15,Lào Cai,6,6.5,,,,,7.5,,,,,Giáo dục kinh tế pháp luật=4.5
15000025,15,Lào Cai,8.25,6.5,9,3.1,,,,,,,,
15000026,15,Lào Cai,5.5,6.5,,,4,4.2,,,,,,
15000027,15,Lào Cai,6.5,7,,,,,6.45,,,,,Giáo dục kinh tế pháp luật=5.7
15000028,15,Lào Cai,5.25,5.75,,,5.25,6.25,,,,,,
15000029,15,Lào Cai,4.5,6.5,,,,,6,,,,,Giáo dục kinh tế pháp luật=4.6
15000030,15,Lào Cai,7.75,6,7.75,7,,,,,,,,
15000031,15,Lào Cai,3.35,5,,,,,5.25,,,,,Giáo dục kinh tế pháp luật=5.25
15000032,15,Lào Cai,6,8,4.75,,,,7.5,,,,,
15000033,15,Lào Cai,5,7.5,,,,,7.25,6.5,,,,
15000034,15,Lào Cai,5,7.5,,,,,8.25,6.5,,,,
15000035,15,Lào Cai,3.75,6,,,,,6.25,,,,,Giáo dục kinh tế pháp luật=3.55
15000036,15,Lào Cai,5.75,7,,,2.45,3.6,,,,,,
15000037,15,Lào Cai,3.1,7.5,,,,,5,5.25,,,,
15000038,15,Lào Cai,4.25,6.75,,,,,,3.85,,,,Công nghệ nông nghiệp=8.25
15000039,15,Lào Cai,7.75,8.5,3.25,,,,8.35,,,,,
15000040,15,Lào Cai,3.85,6.25,,,,,3.25,4.75,,,,
15000041,15,Lào Cai,6.75,8.25,4,,,,8.75,,,,,
15000042,15,Lào Cai,6.25,6.5,,,,,,6.25,,,,Giáo dục kinh tế pháp luật=6.25
15000043,15,Lào Cai,5.6,6,6,,,5.75,,,,,,
15000044,15,Lào Cai,7,7,2.5,5,,,,,,,,
15000045,15,Lào Cai,4.6,8,,,,,9,8.25,,,,
15000046,15,Lào Cai,2.5,5.25,,,,,,2.35,,,,Công nghệ nông nghiệp=6.6
15000047,15,Lào Cai,2.85,4,,,,,,2.85,,,,Công nghệ nông nghiệp=6.6
15000048,15,Lào Cai,2.2,3.25,,,,2.7,5.35,,,,,
15000049,15,Lào Cai,2.6,5.5,,,,,,3,,,,Công nghệ nông nghiệp=7.25
15000050,15,Lào Cai,4.25,5,,,,,5.25,5,,,,
15000051,15,Lào Cai,4.75,5.75,,,,,3.5,4.85,,,,
15000052,15,Lào Cai,8.25,6.5,,8.5,6.75,,,,,,,
15000053,15,Lào Cai,8.25,6,,,7.75,6.75,,,,,,
15000054,15,Lào Cai,2.6,6,,,,,,4.75,,,,Công nghệ nông nghiệp=7.75
15000055,15,Lào Cai,6.25,5,5.25,,,,,,,7.25,,
15000056,15,Lào Cai,4.1,6.5,,,,5.5,5.75,,,,,
15000057,15,Lào Cai,7,8,,,,,9,,,,,Giáo dục kinh tế pháp luật=7.25
15000058,15,Lào Cai,6.5,6.25,,6,4.5,,,,,,,
15000059,15,Lào Cai,4.75,5.5,,,,,5.85,,,,,Giáo dục kinh tế pháp luật=6.75
15000060,15,Lào Cai,3.25,5,,,,,,4.75,,,,Công nghệ nông nghiệp=6.75
15000061,15,Lào Cai,5,8,4.25,5,,,,,,,,
15000063,15,Lào Cai,6.75,7.25,,,5.5,7.25,,,,,,
15000064,15,Lào Cai,4.75,5,,,,,6.5,,,,,
15000065,15,Lào Cai,4.75,7.25,,,,,7,6.1,,,,
15000066,15,Lào Cai,3.25,4.75,,,,,,3.1,,,,Công nghệ nông nghiệp=6.95
15000067,15,Lào Cai,5.25,6.5,,,,,7.5,5.5,,,,
15000068,15,Lào Cai,5,6.25,,,,,6.5,,,,,Giáo dục kinh tế pháp luật=4.85
15000069,15,Lào Cai,7.75,6.25,4.5,,,,,6.85,,,,
15000070,15,Lào Cai,4.6,5.25,,,,,3.85,4.6,,,,
15000071,15,Lào Cai,4.75,6.25,,,,5.35,5.85,,,,,
15000072,15,Lào Cai,5.6,6.25,4,,,,6.6,,,,,
15000073,15,Lào Cai,3.6,6.25,,,,,4.6,4.75,,,,
15000074,15,Lào Cai,4.5,7.75,,,,,8.75,6,,,,
15000075,15,Lào Cai,1.6,5.75,,,,,,4.5,,,,Công nghệ nông nghiệp=7.25
15000076,15,Lào Cai,3.85,5.75,,,,,,5.25,,,,Công nghệ nông nghiệp=6.1
15000077,15,Lào Cai,3.25,5.25,,,,,,3.5,,,,Công nghệ nông nghiệp=7.5
15000078,15,Lào Cai,5.25,5.75,,,1.8,3.6,,,,,,
15000079,15,Lào Cai,4.25,5.75,,,,,4.95,,,,,Giáo dục kinh tế pháp luật=4.7
15000080,15,Lào Cai,9,6,4.5,6.5,,,,,,,,
15000081,15,Lào Cai,8.5,5.75,,7.5,8,,,,,,,
15000082,15,Lào Cai,4.75,5.25,,,,,4.5,6,,,,
15000083,15,Lào Cai,3.5,6.25,,,,,5.75,3.85,,,,
15000084,15,Lào Cai,4.5,8,,,,,9,7.5,,,,
15000085,15,Lào Cai,2.85,4.25,,,,,,3.75,,,,Công nghệ nông nghiệp=6.75
15000086,15,Lào Cai,3.45,6.75,,,,,,6.35,,,,Giáo dục kinh tế pháp luật=5.5
15000087,15,Lào Cai,2.2,5.5,,,,,,4.25,,,,Công nghệ nông nghiệp=7.5
15000088,15,Lào Cai,2.85,6.5,,,,,,6,,,,Công nghệ nông nghiệp=8.5
15000089,15,Lào Cai,3.6,4.25,,,,,,3.35,,,,Công nghệ nông nghiệp=7.25
15000090,15,Lào Cai,5,5.5,,,,,5.2,,,,,Giáo dục kinh tế pháp luật=5.85
15000091,15,Lào Cai,4.75,7.5,,,,,8.5,5.85,,,,
15000092,15,Lào Cai,4.25,3,,,,4.6,6.1,,,,,
15000093,15,Lào Cai,3.5,5.5,,,,,6.1,,,,,Giáo dục kinh tế pháp luật=4.75
15000094,15,Lào Cai,2.35,5,,,,,,4.5,,,,Công nghệ nông nghiệp=6.75
15000095,15,Lào Cai,5.25,7.5,,,,,8,5.5,,,,
15000096,15,Lào Cai,3.35,2.75,,,,,,4.25,,,,Công nghệ nông nghiệp=8.25
15000097,15,Lào Cai,6.25,6.75,4.5,,,,6.25,,,,,
15000098,15,Lào Cai,8.75,6.75,,9,9.25,,,,,,,
15000099,15,Lào Cai,4.75,6,,,4.1,6,,,,,,
15000100,15,Lào Cai,8.25,7.25,,,5.85,6.1,,,,,,
15000101,15,Lào Cai,5.25,6.75,,,,,8.75,7.1,,,,
15000102,15,Lào Cai,6,8.25,3.75,,,,9.25,,,,,
15000103,15,Lào Cai,6.25,7,,3.25,,,6.5,,,,,
15000104,15,Lào Cai,4.5,5.75,,,,,,2.45,,,,Công nghệ nông nghiệp=7.1
15000105,15,Lào Cai,7.25,,,6.75,6.5,,,,,,,
15000106,15,Lào Cai,5,7,,,,,6.5,5.75,,,,
15000107,15,Lào Cai,5.5,7.5,,,,,8.75,5.75,,,,
15000108,15,Lào Cai,3,5.25,,,,,,2.45,,,,Công nghệ nông nghiệp=7.5
15000109,15,Lào Cai,5,5.75,4.5,,,5.35,,,,,,
15000110,15,Lào Cai,6.5,6,,,4.25,5,,,,,,
15000111,15,Lào Cai,5.5,7.5,,,,,6.75,,,,,Giáo dục kinh tế pháp luật=6
15000113,15,Lào Cai,1.7,3.5,,,,,,3.25,,,,Công nghệ nông nghiệp=6.85
15000114,15,Lào Cai,4,6,,,,,6.5,6.35,,,,
15000115,15,Lào Cai,3.1,6,,4.25,3.35,,,,,,,
15000116,15,Lào Cai,5,7.5,,,,,7.25,,,,,Giáo dục kinh tế pháp luật=4.1
15000117,15,Lào Cai,6.5,6.5,,,,,,5.25,,,,Giáo dục kinh tế pháp luật=6.75
15000118,15,Lào Cai,6.25,5.25,,,,,5.25,4.25,,,,
15000119,15,Lào Cai,5.5,5.75,,,4.75,6,,,,,,
15000120,15,Lào Cai,8.75,,,6.75,7,,,,,,,
15000121,15,Lào Cai,7.25,6.5,,5.25,7,,,,,,,
15000122,15,Lào Cai,8,8.75,7.25,5.5,,,,,,,,
15000123,15,Lào Cai,7.5,6.25,3,5,,,,,,,,
15000124,15,Lào Cai,5.5,6.25,2.75,,,,4.5,,,,,
15000125,15,Lào Cai,2.85,5,,,1.9,3.2,,,,,,
