sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
19000001,19,Thái Nguyên,1.95,4.25,,,,,4.1,1.7,,,,
19000002,19,Thái Nguyên,5.75,7.5,4.25,,,,,6.1,,,,
19000003,19,Thái Nguyên,7.75,8.5,4.5,2.35,,,,,,,,
19000004,19,Thái Nguyên,6.75,8.25,7,,,,,,,,,Giáo dục kinh tế pháp luật=5.6
19000005,19,Thái Nguyên,3.1,2.25,,,,,3.7,1.8,,,,
19000006,19,Thái Nguyên,4.35,4.5,,,,,4,4.25,,,,
19000007,19,Thái Nguyên,6.25,4.75,,,5.25,4.85,,,,,,
19000008,19,Thái Nguyên,1.95,2,,,,,3.75,2.35,,,,
19000009,19,Thái Nguyên,4.25,5.25,,,,,4.35,3.2,,,,
19000010,19,Thái Nguyên,4.25,7.75,,,,,5.25,4.75,,,,
19000011,19,Thái Nguyên,7.75,8.5,,,6.5,5.5,,,,,,
19000012,19,Thái Nguyên,8.5,9,,,,,7.85,,,,,Giáo dục kinh tế pháp luật=4.75
19000013,19,Thái Nguyên,7.25,6.25,,6,4.85,,,,,,,
19000014,19,Thái Nguyên,5.5,9,,,,,8.5,,,,,Giáo dục kinh tế pháp luật=7
19000015,19,Thái Nguyên,2.25,6,,,,,4.6,2.85,,,,
19000016,19,Thái Nguyên,2.35,5.25,,,,,4.25,2.75,,,,
19000017,19,Thái Nguyên,7.75,8.25,4,5.7,,,,,,,,
19000018,19,Thái Nguyên,6.25,7,,,,,5.6,6,,,,
19000019,19,Thái Nguyên,6.25,7,5,,,,,,,,,Giáo dục kinh tế pháp luật=4.2
19000020,19,Thái Nguyên,4.25,8,,,,,6.5,7,,,,
19000021,19,Thái Nguyên,3.25,5.75,,,,,6.25,3.5,,,,
19000022,19,Thái Nguyên,6.75,7.25,,,,,5.6,,,,,Công nghệ công nghiệp=5.1
19000023,19,Thái Nguyên,6.5,8.25,3.75,,,,8.75,,,,,
19000024,19,Thái Nguyên,7.75,6,3.25,5,,,,,,,,
19000025,19,Thái Nguyên,4,6.5,,,,,,3.35,,,,
19000026,19,Thái Nguyên,7.25,6,,5.5,6.25,,,,,,,
19000027,19,Thái Nguyên,8.25,6.5,4.25,4.35,,,,,,,,
19000028,19,Thái Nguyên,3,2.5,,,,,5.1,3.25,,,,
19000029,19,Thái Nguyên,2.75,4,,,,,3.85,1.7,,,,
19000030,19,Thái Nguyên,4.75,8,3.75,,,,,,,,,Giáo dục kinh tế pháp luật=4.6
19000031,19,Thái Nguyên,4.25,6.25,,,,,3.85,,,,,Giáo dục kinh tế pháp luật=3.6
19000032,19,Thái Nguyên,3.5,5.25,,,,,4,3.5,,,,
19000033,19,Thái Nguyên,4.1,8,6.25,,,,,8,,,,
19000034,19,Thái Nguyên,4,6.5,,,,,7.5,3.6,,,,
19000035,19,Thái Nguyên,7.75,6.75,,4.85,3.1,,,,,,,
19000036,19,Thái Nguyên,4.5,7.75,,,,,4.75,,,,,Giáo dục kinh tế pháp luật=4.5
19000037,19,Thái Nguyên,5,7.25,,4.75,,,7.75,,,,,
19000038,19,Thái Nguyên,8,8.75,4.75,5.25,,,,,,,,
19000039,19,Thái Nguyên,4.5,9,,,,,8,,,,,Giáo dục kinh tế pháp luật=5
19000040,19,Thái Nguyên,4.25,5.25,,,,,5.75,2.45,,,,
19000041,19,Thái Nguyên,7.75,7,2.75,,,,,,,,,Giáo dục kinh tế pháp luật=5
19000042,19,Thái Nguyên,3.75,8.5,,,,,7.35,,,,,Giáo dục kinh tế pháp luật=5.6
19000043,19,Thái Nguyên,6,8.5,,,,,8.5,5.6,,,,
19000044,19,Thái Nguyên,7.25,8.25,7.5,,,,6,,,,,
19000045,19,Thái Nguyên,6.25,7.25,,,,,,,,,,Giáo dục kinh tế pháp luật=4.5
19000046,19,Thái Nguyên,5.5,6.75,6,,,,,,,,,Giáo dục kinh tế pháp luật=5
19000047,19,Thái Nguyên,8,8,6.25,,2.7,,,,,,,
19000048,19,Thái Nguyên,5,8.75,,,,,7.25,5.1,,,,
19000049,19,Thái Nguyên,4.75,5.75,,,,,2.85,3.25,,,,
19000050,19,Thái Nguyên,8.5,7,,7.5,8.1,,,,,,,
19000051,19,Thái Nguyên,8.75,8.75,6.5,,,,,,,,,Giáo dục kinh tế pháp luật=6.85
19000052,19,Thái Nguyên,5,8.75,4.5,,,,7.75,,,,,
19000053,19,Thái Nguyên,5.25,3.25,,,,,6,3.75,,,,
19000054,19,Thái Nguyên,5,6.75,,,,,,4,,,,Giáo dục kinh tế pháp luật=4.2
19000055,19,Thái Nguyên,5.75,6.75,,3.7,2.7,,,,,,,
19000056,19,Thái Nguyên,7.5,7,4.25,,,,,,,,,Giáo dục kinh tế pháp luật=5.6
19000057,19,Thái Nguyên,3.35,6.5,,,,,6.5,,,,,Giáo dục kinh tế pháp luật=4
19000058,19,Thái Nguyên,4.25,4,,,,,4.6,2.75,,,,
19000059,19,Thái Nguyên,5.5,8,7.5,6,,,,,,,,
19000060,19,Thái Nguyên,7.75,6.75,,4.35,,,,3,,,,
19000061,19,Thái Nguyên,4.5,7.5,2,,,,,,,,,Giáo dục kinh tế pháp luật=4.55
19000062,19,Thái Nguyên,7,7,4.75,,,,6.75,,,,,
19000063,19,Thái Nguyên,6.25,8,5.75,,,,,,,,,Giáo dục kinh tế pháp luật=7
19000064,19,Thái Nguyên,4.6,7.25,,,,,7,,,,,Giáo dục kinh tế pháp luật=4.1
19000065,19,Thái Nguyên,4,7.5,4.5,,,,,5.35,,,,
19000066,19,Thái Nguyên,8.5,8.5,4,,,,,,,,,Giáo dục kinh tế pháp luật=5.5
19000067,19,Thái Nguyên,3.5,6.75,,,,,4.75,3.75,,,,
19000068,19,Thái Nguyên,5.5,7,,,,,3.75,2.25,,,,
19000069,19,Thái Nguyên,5.5,6.25,,,,,7.25,5.1,,,,
19000070,19,Thái Nguyên,4.25,4.5,,,,,4.6,3.75,,,,
19000071,19,Thái Nguyên,6.5,7.25,6.25,,,,8.5,,,,,
19000072,19,Thái Nguyên,4.25,6.25,,,,,6.25,,,,,Giáo dục kinh tế pháp luật=5.1
19000073,19,Thái Nguyên,3.75,6.75,,,,,7,4.85,,,,
19000074,19,Thái Nguyên,6.25,7,,,,,,5,,,,Giáo dục kinh tế pháp luật=3.35
19000075,19,Thái Nguyên,5,5.25,,,,,,3.6,,,,Giáo dục kinh tế pháp luật=5
19000076,19,Thái Nguyên,7.5,6,5.25,,,,,,,,,Giáo dục kinh tế pháp luật=5.85
19000077,19,Thái Nguyên,5,6.25,,,,,,3.95,,,,Giáo dục kinh tế pháp luật=5.1
