sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
20000001,20,Lạng Sơn,2.2,4,,,,,4.75,4.5,,,,
20000002,20,Lạng Sơn,9.75,7.25,,6,6.75,,,,,,,
20000003,20,Lạng Sơn,8,6.5,10,,,,7.5,,,,,
20000004,20,Lạng Sơn,,5,,,,,4.75,4.7,,,,
20000005,20,Lạng Sơn,,6,,,,,5.85,6.5,,,,
20000006,20,Lạng Sơn,1.85,3.25,,,,,4.1,2.6,,,,
20000007,20,Lạng Sơn,10,6.5,5.75,8.5,,,,,,,,
20000008,20,Lạng Sơn,6.5,6.5,,5.75,,,,,,,,
20000009,20,Lạng Sơn,7.75,6.25,8.75,,,,,6.5,,,,
20000010,20,Lạng Sơn,8,5.25,,6.25,6.25,,,,,,,
20000011,20,Lạng Sơn,8.5,7.5,,,7,9.75,,,,,,
20000012,20,Lạng Sơn,10,7.5,,8.25,9,,,,,,,
20000013,20,Lạng Sơn,3.75,4.25,,,,,4.25,4.25,,,,
20000014,20,Lạng Sơn,7.25,7.75,4.25,5,,,,,,,,
20000015,20,Lạng Sơn,6,7,4.25,,,,,7.25,,,,
20000016,20,Lạng Sơn,3.75,6.75,7.75,,,,7.5,,,,,
20000017,20,Lạng Sơn,8,7.25,4.25,5.5,,,,,,,,
20000018,20,Lạng Sơn,8,6.75,3.5,5.75,,,,,,,,
20000019,20,Lạng Sơn,,7.25,6.75,,,,,4.2,,,,
20000020,20,Lạng Sơn,7,7,7.25,,,,7,,,,,
20000021,20,Lạng Sơn,5.25,1.75,,,,,2.45,1.6,,,,
20000022,20,Lạng Sơn,7.5,8,4,,,,,5.85,,,,
20000023,20,Lạng Sơn,6.25,7,8.25,,,,8.5,,,,,
20000024,20,Lạng Sơn,6.5,6.25,,,,,7.25,6.25,,,,
20000025,20,Lạng Sơn,2.5,2,,,,,3.5,3.25,,,,
20000026,20,Lạng Sơn,6.25,8.25,6.75,,,,,8,,,,
20000027,20,Lạng Sơn,9,7.75,3,,,,,6.75,,,,
20000028,20,Lạng Sơn,5.75,7,,,,,8.25,7,,,,
20000029,20,Lạng Sơn,10,7,9,9.25,,,,,,,,
20000030,20,Lạng Sơn,6.75,8.5,6.5,,,,7.75,,,,,
20000031,20,Lạng Sơn,5.5,8.25,,,,,8.25,7.25,,,,
20000032,20,Lạng Sơn,6.25,7,4.5,,,,,5.75,,,,
20000033,20,Lạng Sơn,7.75,8.75,8.75,8,,,,,,,,
20000034,20,Lạng Sơn,9.25,6.75,7.25,,,,7.25,,,,,
20000035,20,Lạng Sơn,,5.75,,,,,4.75,,,,,Giáo dục kinh tế pháp luật=4.85
20000036,20,Lạng Sơn,3.75,3.5,,,,,3.2,2.35,,,,
20000037,20,Lạng Sơn,3.25,2.5,,,,,4.25,3,,,,
