sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
22000001,22,Quảng Ninh,8.5,7.75,5.75,,,,,,,,,Giáo dục kinh tế pháp luật=6.5
22000002,22,Quảng Ninh,4.25,7.75,,,,,5.6,5.5,,,,
22000003,22,Quảng Ninh,5.75,7.25,,,,,,3,,,,Giáo dục kinh tế pháp luật=5.45
22000004,22,Quảng Ninh,3.75,5,,,,,5.35,4.5,,,,
22000005,22,Quảng Ninh,4.75,7.75,,,,,,2.95,,,,Giáo dục kinh tế pháp luật=4.35
22000006,22,Quảng Ninh,6,7,,,,,,3.25,,,,Giáo dục kinh tế pháp luật=3.1
22000007,22,Quảng Ninh,3.5,6.5,,,,,4.6,3.6,,,,
22000008,22,Quảng Ninh,4.25,6,,,,,3.75,2.35,,,,
22000009,22,Quảng Ninh,4.25,7,,,,,4.85,,,,,Giáo dục kinh tế pháp luật=2.25
22000010,22,Quảng Ninh,5.75,5.25,,,,,,1.85,,,,Giáo dục kinh tế pháp luật=3.5
22000011,22,Quảng Ninh,5.5,5.25,,,,,5.95,3.6,,,,
22000012,22,Quảng Ninh,5.75,5.25,,,,,6.25,5,,,,
22000013,22,Quảng Ninh,4.25,7,5.75,,,,,,,,,Giáo dục kinh tế pháp luật=6.75
22000014,22,Quảng Ninh,4.75,6.25,,,,,6.1,,,,,
22000015,22,Quảng Ninh,6.75,3.75,,,,,,3.75,,,,Giáo dục kinh tế pháp luật=3.2
22000016,22,Quảng Ninh,6.25,2.75,,,,,6.5,,,,,Giáo dục kinh tế pháp luật=4.25
22000017,22,Quảng Ninh,6.5,3.25,,,,,,4,,,,Giáo dục kinh tế pháp luật=4.1
22000018,22,Quảng Ninh,4.25,4.75,,,,,5.5,3.5,,,,
22000019,22,Quảng Ninh,3.75,6,,,,,6.85,2.95,,,,
22000020,22,Quảng Ninh,6.25,4.5,,,,,3.95,2.35,,,,
22000021,22,Quảng Ninh,6,6,,,,,5,4,,,,
22000022,22,Quảng Ninh,5.25,5.5,,,,,,3.35,,,,Giáo dục kinh tế pháp luật=5.6
22000023,22,Quảng Ninh,5,4.75,,,,,,,,,,Giáo dục kinh tế pháp luật=3.35
22000024,22,Quảng Ninh,5.25,3.5,,,,,,4,,,,Giáo dục kinh tế pháp luật=3.6
22000025,22,Quảng Ninh,5.5,7.5,,,,,8.75,,,,,Giáo dục kinh tế pháp luật=5.5
22000026,22,Quảng Ninh,4.25,7.25,,,,,5.35,6,,,,
22000027,22,Quảng Ninh,3.75,5.25,,,,,5.35,6.5,,,,
22000028,22,Quảng Ninh,4.75,4.5,,,,,6,3.95,,,,
22000029,22,Quảng Ninh,4.45,3.75,,,,,,2.6,,,,Giáo dục kinh tế pháp luật=3.7
22000030,22,Quảng Ninh,5,8,,,,,8,,,,,Giáo dục kinh tế pháp luật=4.55
22000031,22,Quảng Ninh,5.5,7.5,,,,,6.25,,,,,Giáo dục kinh tế pháp luật=4
22000032,22,Quảng Ninh,3.5,3.5,,,,,,1.95,,,,Giáo dục kinh tế pháp luật=2.45
22000033,22,Quảng Ninh,4.45,4.25,,,,,,3.5,,,,Giáo dục kinh tế pháp luật=4.1
22000034,22,Quảng Ninh,4.5,4.5,,,,,,,,,,Giáo dục kinh tế pháp luật=4.35
22000035,22,Quảng Ninh,4.5,6.5,,,,,7.5,4.25,,,,
22000036,22,Quảng Ninh,4.5,6.75,,,,,7.25,6,,,,
22000037,22,Quảng Ninh,4.45,4.5,,,,,,3.85,,,,Giáo dục kinh tế pháp luật=6.35
22000038,22,Quảng Ninh,4.5,6.75,,,,,8,4.5,,,,
22000039,22,Quảng Ninh,4.25,4,,,,,5.1,5.85,,,,
22000040,22,Quảng Ninh,6.6,4.75,,,,,,4.5,,,,Giáo dục kinh tế pháp luật=3.35
22000041,22,Quảng Ninh,6,5.75,,,,,,4.1,,,,Giáo dục kinh tế pháp luật=2.7
22000042,22,Quảng Ninh,5.5,5.75,,,,,,4.85,,,,Giáo dục kinh tế pháp luật=2.1
22000043,22,Quảng Ninh,5.85,5.25,,,,,,3,,,,Giáo dục kinh tế pháp luật=3.1
22000044,22,Quảng Ninh,5,5.5,4.75,,,,,,,,,Giáo dục kinh tế pháp luật=6.5
22000045,22,Quảng Ninh,4.35,6.5,,,,,10,,,7.5,,
22000046,22,Quảng Ninh,3.25,6.75,,,,,4.7,4,,,,
22000047,22,Quảng Ninh,6,5.75,,,,,,3.6,,,,Giáo dục kinh tế pháp luật=4.7
22000048,22,Quảng Ninh,4.95,4.5,,,,,,3.5,,,,Giáo dục kinh tế pháp luật=2.95
22000049,22,Quảng Ninh,3,6.75,,,,,6.5,4.5,,,,
22000050,22,Quảng Ninh,4,5.25,,,,,5.6,6,,,,
22000051,22,Quảng Ninh,4.45,4.5,,,,,,4.6,,,,Giáo dục kinh tế pháp luật=5.6
22000052,22,Quảng Ninh,3.85,2.5,,,,,4.85,4.75,,,,
