sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
24000001,24,Bắc Ninh,8.25,8,,,8,8.75,,,,,,
24000002,24,Bắc Ninh,10,7.75,,,10,9,,,,,,
24000003,24,Bắc Ninh,9.25,7.25,,5,,,,,,6.75,,
24000004,24,Bắc Ninh,5.5,7.75,8.25,,,,,,,,,Giáo dục kinh tế pháp luật=6.5
24000005,24,Bắc Ninh,6.75,7,,,7.25,9.25,,,,,,
24000006,24,Bắc Ninh,5,7.5,5,,,,7,,,,,
24000007,24,Bắc Ninh,4.35,4.25,,,,,3.45,4.5,,,,
24000008,24,Bắc Ninh,3.85,5.5,,,,,5.85,5.45,,,,
24000009,24,Bắc Ninh,9.5,6.75,,9,9,,,,,,,
24000010,24,Bắc Ninh,9.5,7.5,,9.25,8.75,,,,,,,
24000011,24,Bắc Ninh,6.25,6.25,,2.75,,,,6.75,,,,
24000012,24,Bắc Ninh,3,4.5,,,,,2.8,2.6,,,,
24000013,24,Bắc Ninh,8.5,6.75,,,9.25,8.75,,,,,,
24000014,24,Bắc Ninh,7.75,7.5,9,,,,7.75,,,,,
24000015,24,Bắc Ninh,8.5,6,8.5,,,,,,,,,Giáo dục kinh tế pháp luật=6.5
24000016,24,Bắc Ninh,6.5,7.25,4,,,,6.1,,,,,
24000017,24,Bắc Ninh,7,8.5,7.75,,,,7.5,,,,,
24000018,24,Bắc Ninh,9,7.5,,,,,8.75,7.25,,,,
24000019,24,Bắc Ninh,9,7.5,7.75,9.25,,,,,,,,
24000020,24,Bắc Ninh,2.5,5,,,,,3.85,,,,,Giáo dục kinh tế pháp luật=3.1
24000021,24,Bắc Ninh,2.2,4.25,,,,,6.35,,,,,Giáo dục kinh tế pháp luật=6.1
24000022,24,Bắc Ninh,9,7.25,8,,7.6,,,,,,,
24000023,24,Bắc Ninh,3,4.75,,,,,5.7,4.75,,,,
24000024,24,Bắc Ninh,3.75,6,,,,,4.85,5.75,,,,
24000025,24,Bắc Ninh,3.85,4.5,,,,,7,4.6,,,,
24000026,24,Bắc Ninh,3,2,,,,,3.25,2.35,,,,
24000027,24,Bắc Ninh,8.5,6.75,7,,8.5,,,,,,,
24000028,24,Bắc Ninh,7,8.25,6.75,,,,8.5,,,,,
24000029,24,Bắc Ninh,7.25,7.25,5.75,,,,7.75,,,,,
24000030,24,Bắc Ninh,5.75,7,,,,,9.5,7.5,,,,
24000031,24,Bắc Ninh,9.25,7.75,9.5,,,,,,,,,Giáo dục kinh tế pháp luật=6.35
24000032,24,Bắc Ninh,3.35,6,,,,,4.25,3.95,,,,
24000033,24,Bắc Ninh,8,8,6.5,,,,6.5,,,,,
24000034,24,Bắc Ninh,3.75,5.25,,,,,4.6,2.95,,,,
24000035,24,Bắc Ninh,1.75,3.25,,,,,2.85,2.45,,,,
24000036,24,Bắc Ninh,9.75,7,6.25,7.85,,,,,,,,
24000037,24,Bắc Ninh,9.5,6,,6.5,8.75,,,,,,,
24000038,24,Bắc Ninh,7.25,8.5,9.5,,,,9.25,,,,,
24000039,24,Bắc Ninh,8.75,6.5,9.25,,7.25,,,,,,,
24000040,24,Bắc Ninh,6.25,7,8,,,,9.25,,,,,
24000041,24,Bắc Ninh,3,5.75,,,,,4.85,3,,,,
24000042,24,Bắc Ninh,3.35,5.75,,,,,4.75,4.5,,,,
24000043,24,Bắc Ninh,6.5,8,,,,,9.25,10,,,,
24000044,24,Bắc Ninh,6.5,9,,,,,8.5,,,,,Giáo dục kinh tế pháp luật=6.5
24000045,24,Bắc Ninh,8,8.5,7,,,,,7,,,,
24000047,24,Bắc Ninh,7.5,7.75,8.75,,,,7.5,,,,,
24000048,24,Bắc Ninh,8.25,8.5,7.75,,,,,7.1,,,,
24000049,24,Bắc Ninh,3.25,6,,,,,4.6,4.85,,,,
24000050,24,Bắc Ninh,7.25,8,7,,,,,7.5,,,,
24000051,24,Bắc Ninh,1.2,5.25,,,,,3.7,,,,,Giáo dục kinh tế pháp luật=3.5
24000052,24,Bắc Ninh,5.5,5.5,,,,,6.75,4.5,,,,
24000053,24,Bắc Ninh,6.25,6.25,,,,,6.25,,,,,
24000054,24,Bắc Ninh,2.5,4,,,,,7,2.75,,,,
24000055,24,Bắc Ninh,4.35,8,8,,,,,,,,,Giáo dục kinh tế pháp luật=7.5
