sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
25000001,25,Phú Thọ,7.75,7.75,7.5,,,,,5,,,,
25000002,25,Phú Thọ,5.75,8.25,6.75,,,,,,,,,Giáo dục kinh tế pháp luật=6.25
25000003,25,Phú Thọ,8.5,7.75,6.25,,,,,,,7.5,,
25000004,25,Phú Thọ,10,9.25,6.5,,,,8.5,,,,,
25000005,25,Phú Thọ,9,6.5,4.75,6.35,,,,,,,,
25000006,25,Phú Thọ,8,8,7.25,6.1,,,,,,,,
25000007,25,Phú Thọ,9,8.25,,,7.5,9,,,,,,
25000008,25,Phú Thọ,7,8.5,5.5,,,,7.75,,,,,
25000009,25,Phú Thọ,6.5,8,6.75,,,,,6.5,,,,
25000010,25,Phú Thọ,6,8.25,5.75,,,,,3.35,,,,
25000011,25,Phú Thọ,8.25,7.91,6.75,,,,,5.25,,,,
25000012,25,Phú Thọ,8.25,7.25,8.25,7.35,,,,,,,,
25000013,25,Phú Thọ,7.25,8.75,,,,,9.5,7.25,,,,
25000014,25,Phú Thọ,9,8.5,8.75,,,,6.6,,,,,
25000015,25,Phú Thọ,3.25,8.75,,,,,9.5,8,,,,
25000016,25,Phú Thọ,6.75,8.5,,,,,9.5,8,,,,
25000017,25,Phú Thọ,10,8,,8,9,,,,,,,
25000018,25,Phú Thọ,7.25,7.75,4.5,,,,,4.85,,,,
25000019,25,Phú Thọ,7.25,6.25,4.75,,4.35,,,,,,,
25000020,25,Phú Thọ,8,8.5,5.25,,,,,5.75,,,,
25000021,25,Phú Thọ,7.25,7.75,6.25,,,,8.25,,,,,
25000022,25,Phú Thọ,8.5,9.25,2.5,,,,7.5,,,,,
25000024,25,Phú Thọ,7.75,5.25,7,6,,,,,,,,
25000025,25,Phú Thọ,8.75,9,7.75,,,,7.75,,,,,
25000026,25,Phú Thọ,7.5,8.25,4.75,,,,7.25,,,,,
25000027,25,Phú Thọ,7,7,,4.75,4.85,,,,,,,
25000028,25,Phú Thọ,9,8.75,,,8,9.75,,,,,,
25000029,25,Phú Thọ,7,8.5,7.25,,,,6.5,,,,,
25000030,25,Phú Thọ,8.25,8,4.25,,,,,5.75,,,,
25000031,25,Phú Thọ,7.75,7.5,8.75,8,,,,,,,,
25000032,25,Phú Thọ,6.25,7.25,8,4.2,,,,,,,,
25000033,25,Phú Thọ,7.5,8,6,7,,,,,,,,
25000034,25,Phú Thọ,8.5,9,3.75,,,,9.25,,,,,
25000035,25,Phú Thọ,8.75,8,,,9.5,8,,,,,,
25000036,25,Phú Thọ,8.5,7.75,7.75,8,,,,,,,,
25000037,25,Phú Thọ,9,8.5,7.75,,,,6.75,,,,,
25000038,25,Phú Thọ,9,9,6.5,,,,7.5,,,,,
25000039,25,Phú Thọ,8.25,7.25,8.5,8.5,,,,,,,,
25000040,25,Phú Thọ,7.25,8.25,4.75,5.1,,,,,,,,
25000041,25,Phú Thọ,8.5,7,7.5,5.5,,,,,,,,
25000042,25,Phú Thọ,8.25,8,,7,5.1,,,,,,,
25000043,25,Phú Thọ,8,8.25,6.75,6.5,,,,,,,,
25000044,25,Phú Thọ,5.5,8.75,,,,,9.25,7.75,,,,
25000045,25,Phú Thọ,6.75,7,,4,5.75,,,,,,,
25000046,25,Phú Thọ,8.5,8.5,7,5.25,,,,,,,,
25000047,25,Phú Thọ,8,7.75,6,,,,6.75,,,,,
25000048,25,Phú Thọ,7.25,7.75,6.75,8.5,,,,,,,,
25000049,25,Phú Thọ,6.5,8.25,6,,,,,6.25,,,,
25000050,25,Phú Thọ,8.5,8.5,4.25,,,,6.5,,,,,
25000051,25,Phú Thọ,9,7.5,6.5,7,,,,,,,,
25000052,25,Phú Thọ,10,8.25,,9,9.5,,,,,,,
25000053,25,Phú Thọ,7.85,8.25,4.25,8.5,,,,,,,,
25000054,25,Phú Thọ,8.25,8,5.5,,,,,8.35,,,,
25000055,25,Phú Thọ,7.5,8.75,8.25,,,,8.25,,,,,
25000056,25,Phú Thọ,6.25,8.5,5.75,,,,,6,,,,
25000057,25,Phú Thọ,7.5,8.5,6.75,,,,9,,,,,
25000058,25,Phú Thọ,7.5,8,3.5,5.5,,,,,,,,
25000059,25,Phú Thọ,7,8.75,5.25,,,,8.5,,,,,
25000060,25,Phú Thọ,8,8.5,7.5,,,,,7,,,,
25000061,25,Phú Thọ,7.75,7.75,,,7.5,8.5,,,,,,
25000062,25,Phú Thọ,7.5,7.5,7,,,,7.75,,,,,
25000063,25,Phú Thọ,6.75,7.75,7.5,,,,7.5,,,,,
25000064,25,Phú Thọ,5.25,8,8,,,,,5.1,,,,
25000065,25,Phú Thọ,8.25,8.25,6.75,,6.5,,,,,,,
