sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
33000001,33,Hưng Yên,9,5.25,,,8.75,7.25,,,,,,
33000002,33,Hưng Yên,9.25,7.75,,8.25,9,,,,,,,
33000003,33,Hưng Yên,5.25,7.75,,,,,8.5,6.75,,,,
33000004,33,Hưng Yên,9.5,5,,9.5,9.25,,,,,,,
33000005,33,Hưng Yên,8.25,8.75,7.25,,,,,7.5,,,,
33000006,33,Hưng Yên,9.5,7.25,,7,7.5,,,,,,,
33000007,33,Hưng Yên,8.25,7.5,6.5,,,,,,,,,Giáo dục kinh tế pháp luật=8.25
33000008,33,Hưng Yên,10,7.5,7,,,,,,,,,Giáo dục kinh tế pháp luật=5
33000009,33,Hưng Yên,9,8.75,7.75,,,,7.5,,,,,
33000010,33,Hưng Yên,8.5,6.25,9.75,8.75,,,,,,,,
33000011,33,Hưng Yên,8,7.75,8.5,6.6,,,,,,,,
33000012,33,Hưng Yên,9,8,8.25,8.25,,,,,,,,
33000013,33,Hưng Yên,8,8.75,,,8,9.25,,,,,,
33000014,33,Hưng Yên,6.75,9,,,,,10,9.5,,,,
33000015,33,Hưng Yên,9,8.5,8.25,,,,9,,,,,
33000016,33,Hưng Yên,6.75,3.5,,,7.5,6.75,,,,,,
33000017,33,Hưng Yên,9,7.25,5.5,7.75,,,,,,,,
33000018,33,Hưng Yên,4.75,7,,,,,9.5,9.25,,,,
33000019,33,Hưng Yên,7.25,7.5,,,8,8,,,,,,
33000020,33,Hưng Yên,6.35,9,3.25,,,,7.85,,,,,
33000021,33,Hưng Yên,7.75,8.5,7.5,,,,8.5,,,,,
33000022,33,Hưng Yên,7.75,7.75,7.5,,,,8,,,,,
33000023,33,Hưng Yên,8.5,8,7,,,7,,,,,,
33000024,33,Hưng Yên,9.5,7.75,,,8.5,8.75,,,,,,
33000025,33,Hưng Yên,10,7,,9.25,10,,,,,,,
33000026,33,Hưng Yên,8.5,7.25,5.25,,,,,,,,,Giáo dục kinh tế pháp luật=6.75
33000027,33,Hưng Yên,10,6.75,,9.5,9.25,,,,,,,
33000028,33,Hưng Yên,9,7.5,4.75,5.35,,,,,,,,
33000029,33,Hưng Yên,7,8.5,8.75,,,,,,,,,Giáo dục kinh tế pháp luật=4.75
33000030,33,Hưng Yên,8,8.75,,,,,10,9.5,,,,
33000031,33,Hưng Yên,8,7.25,,,8.25,8.5,,,,,,
33000032,33,Hưng Yên,8.5,8.75,,,,,10,9,,,,
33000033,33,Hưng Yên,9,8.25,,,9,8,,,,,,
33000034,33,Hưng Yên,10,6.5,,7,8.75,,,,,,,
33000035,33,Hưng Yên,7.25,8.5,,,,,8,7.25,,,,
33000036,33,Hưng Yên,9,6.75,8.5,7.75,,,,,,,,
33000037,33,Hưng Yên,8.25,5.5,,,9.25,9,,,,,,
33000038,33,Hưng Yên,9,8.5,7.25,,,,7,,,,,
33000039,33,Hưng Yên,7,7.25,,,,,8.5,8.5,,,,
33000040,33,Hưng Yên,9,7.25,,,7.35,8.5,,,,,,
33000041,33,Hưng Yên,7.75,7.5,,,,,8.75,8.25,,,,
33000042,33,Hưng Yên,8,8.5,8.5,,,,6.75,,,,,
33000043,33,Hưng Yên,9.75,6.75,,7.75,,,,,,,,
33000044,33,Hưng Yên,8.25,7.25,,,,,8.5,,,,,Giáo dục kinh tế pháp luật=6.6
33000045,33,Hưng Yên,8.5,8.25,8.5,8,,,,,,,,
33000046,33,Hưng Yên,10,6.25,,9.75,9.5,,,,,,,
33000047,33,Hưng Yên,8.5,8.75,6.75,,,,8.5,,,,,
33000048,33,Hưng Yên,8.25,7.5,6.75,,6.75,,,,,,,
33000049,33,Hưng Yên,5.75,7.5,,,,,8,9,,,,
33000050,33,Hưng Yên,10,7.75,,9.25,10,,,,,,,
33000051,33,Hưng Yên,9.5,7.5,,,9.25,8,,,,,,
33000052,33,Hưng Yên,6.75,7.75,4.25,,,,8.25,,,,,
