sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
37000001,37,Ninh Bình,8,6.25,,7.75,6.2,,,,,,,
37000002,37,Ninh Bình,5.7,7,5.5,,,,,,,7.85,,
37000003,37,Ninh Bình,8.5,7,,8,9.25,,,,,,,
37000004,37,Ninh Bình,1.6,7,,,,,5.75,3.6,,,,
37000005,37,Ninh Bình,3,4.25,,,,,5.75,3.5,,,,
37000006,37,Ninh Bình,5.25,7.5,2.5,,,,6.1,,,,,
37000007,37,Ninh Bình,7.75,7.25,,,,,8.25,7.75,,,,
37000008,37,Ninh Bình,10,6.25,,9,8.25,,,,,,,
37000009,37,Ninh Bình,8,8.5,4,7.5,,,,,,,,
37000010,37,Ninh Bình,3.5,3.25,,,,,4.35,4.25,,,,
37000011,37,Ninh Bình,8.5,9,7,,6,,,,,,,
37000012,37,Ninh Bình,3.5,4,,,,,3.85,1.2,,,,
37000013,37,Ninh Bình,2.6,3,,,,,3.25,3.95,,,,
37000014,37,Ninh Bình,10,7,,9,9,,,,,,,
37000015,37,Ninh Bình,3.75,6.75,,,,,3.6,4.1,,,,
37000016,37,Ninh Bình,7.25,8.5,5.5,,,,7.5,,,,,
37000017,37,Ninh Bình,1.75,5.25,,,,,6,3.35,,,,
37000018,37,Ninh Bình,2.45,6.75,,,,,6.1,2.85,,,,
37000019,37,Ninh Bình,8.25,7,,9.5,8.75,,,,,,,
37000020,37,Ninh Bình,9,8,3.75,9.25,,,,,,,,
37000021,37,Ninh Bình,6.75,8.5,3.5,,,,7,,,,,
37000022,37,Ninh Bình,7.75,8,8.75,,,,,,,,,Giáo dục kinh tế pháp luật=7.5
37000023,37,Ninh Bình,6.75,8.5,4,,,,8.75,,,,,
37000024,37,Ninh Bình,7.5,7.25,4.25,,,,,7,,,,
37000025,37,Ninh Bình,9,6.75,3.5,7.25,,,,,,,,
37000026,37,Ninh Bình,3.1,6.5,,,,,5.5,3.5,,,,
37000027,37,Ninh Bình,4.35,6.5,,,,,6,3.35,,,,
37000028,37,Ninh Bình,8.5,7.75,8,,,,,6.25,,,,
37000029,37,Ninh Bình,8.5,8.5,5,,,,7.25,,,,,
37000030,37,Ninh Bình,9,8,7.75,8.75,,,,,,,,
37000031,37,Ninh Bình,8.75,8.75,7,,,,4.2,,,,,
37000032,37,Ninh Bình,9.25,7.25,,8.75,8.5,,,,,,,
37000033,37,Ninh Bình,9.5,8,,7.25,,,,,,8.75,,
37000034,37,Ninh Bình,10,7.75,8.25,7.75,,,,,,,,
37000035,37,Ninh Bình,8.5,7.25,,,8,7.5,,,,,,
37000036,37,Ninh Bình,1.95,3.5,,,,,4.1,2.85,,,,
