sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
38000001,38,Thanh Hóa,6.75,8.25,,,,,9,8.5,,,,
38000002,38,Thanh Hóa,5.25,7.5,7.25,,,,5.2,,,,,
38000003,38,Thanh Hóa,6.25,8,,,,,9.75,8,,,,
38000004,38,Thanh Hóa,8.25,8.5,7,,,,,6.75,,,,
38000005,38,Thanh Hóa,3.5,8,,,,,6.5,,,,,Giáo dục kinh tế pháp luật=6.5
38000006,38,Thanh Hóa,7.75,8.5,7.5,,,,8.5,,,,,
38000007,38,Thanh Hóa,3.25,5.75,,,,,4.35,,,,,Giáo dục kinh tế pháp luật=3.2
38000008,38,Thanh Hóa,7.5,7.25,5,,1.6,,,,,,,
38000009,38,Thanh Hóa,3.85,5.5,,,,,5.6,,,,,Giáo dục kinh tế pháp luật=5.1
38000010,38,Thanh Hóa,3.45,5.5,3.5,,,,5.1,,,,,
38000012,38,Thanh Hóa,7.5,7.25,6.75,4.5,,,,,,,,
38000013,38,Thanh Hóa,8.5,6.25,,7.25,6.85,,,,,,,
38000014,38,Thanh Hóa,6.25,8.25,3.75,,,,6.25,,,,,
38000015,38,Thanh Hóa,9,7.75,6.25,6.1,,,,,,,,
38000016,38,Thanh Hóa,3.5,7.75,7.5,,,,7.75,,,,,
38000017,38,Thanh Hóa,7.25,7,4,,,,5.75,,,,,
38000018,38,Thanh Hóa,6.5,7.5,5,,,,,5.5,,,,
38000019,38,Thanh Hóa,5.75,8.5,2.5,,,,5.5,,,,,
38000020,38,Thanh Hóa,7.75,7.75,8.25,7.5,,,,,,,,
38000021,38,Thanh Hóa,4.75,7,,,,,,6.1,,,,Giáo dục kinh tế pháp luật=6
38000022,38,Thanh Hóa,3.25,3.5,,,,,4.6,,,,,Giáo dục kinh tế pháp luật=6.5
38000023,38,Thanh Hóa,7.5,8.75,4,,,,,5.1,,,,
38000024,38,Thanh Hóa,5,6.5,,,,,4.75,,,,,Giáo dục kinh tế pháp luật=4.95
38000025,38,Thanh Hóa,6.25,7.5,6.25,,6,,,,,,,
38000026,38,Thanh Hóa,5.25,6.75,3.25,,,,5.75,,,,,
38000027,38,Thanh Hóa,7.5,6,6.25,,,,4.8,,,,,
38000028,38,Thanh Hóa,3.1,6,,,,,4.25,,,,,Giáo dục kinh tế pháp luật=3.85
38000029,38,Thanh Hóa,6.25,6.5,,4.95,5.85,,,,,,,
38000030,38,Thanh Hóa,8.75,7.75,6.75,7.75,,,,,,,,
38000031,38,Thanh Hóa,8.5,7.25,6.5,,,,6.85,,,,,
38000032,38,Thanh Hóa,4.25,7.5,,,,,9.25,8.5,,,,
38000033,38,Thanh Hóa,5.1,6.5,7,5.5,,,,,,,,
38000034,38,Thanh Hóa,7.25,7.5,4.75,,,,4.35,,,,,
38000035,38,Thanh Hóa,5.25,6.5,3,,,,,4.6,,,,
38000036,38,Thanh Hóa,7,7.92,5.5,,,,,6.75,,,,
38000037,38,Thanh Hóa,4,5.5,,,,,,3.5,,,,Giáo dục kinh tế pháp luật=3
38000038,38,Thanh Hóa,7.25,8.25,4.5,,,,5.5,,,,,
38000039,38,Thanh Hóa,8,7.25,5.5,8.25,,,,,,,,
38000040,38,Thanh Hóa,5.5,7.5,,,,,5.25,5.1,,,,
38000041,38,Thanh Hóa,2.35,6,,,,,3,,,,,Giáo dục kinh tế pháp luật=2.1
38000042,38,Thanh Hóa,5,8,5.25,,,,8.5,,,,,
38000043,38,Thanh Hóa,6.35,5,,4.25,5.75,,,,,,,
38000044,38,Thanh Hóa,7.25,7.5,,4,5.25,,,,,,,
38000045,38,Thanh Hóa,7,7,,7.25,,,,7.75,,,,
38000046,38,Thanh Hóa,7.5,7,,7.75,6.75,,,,,,,
38000047,38,Thanh Hóa,8.75,7.17,,7.75,5.7,,,,,,,
38000048,38,Thanh Hóa,7,7.25,6.5,6.25,,,,,,,,
38000049,38,Thanh Hóa,9,7,6.75,7.75,,,,,,,,
38000050,38,Thanh Hóa,8,8.25,,8,7.75,,,,,,,
38000051,38,Thanh Hóa,2.75,6.5,,,,,5.35,,,,,Giáo dục kinh tế pháp luật=4.85
38000052,38,Thanh Hóa,6,7.5,4.5,,,,8.5,,,,,
38000053,38,Thanh Hóa,7.25,8.25,6,,,,,8,,,,
38000054,38,Thanh Hóa,5.1,6.5,,,,,5.35,5.6,,,,
38000055,38,Thanh Hóa,8,6.5,,5.35,7.75,,,,,,,
38000056,38,Thanh Hóa,9,8.25,6.25,,,,8,,,,,
38000057,38,Thanh Hóa,5,7,,,,,4.6,,,,,Giáo dục kinh tế pháp luật=5.1
