sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
40000001,40,Nghệ An,8.5,7,,9,9,,,,,,,
40000002,40,Nghệ An,7.75,7.5,6,,,,,,,,,Giáo dục kinh tế pháp luật=5.6
40000003,40,Nghệ An,8.5,7.5,7,,,,,,,,,Giáo dục kinh tế pháp luật=5.6
40000005,40,Nghệ An,7.5,7.5,6,,,,4.6,,,,,
40000006,40,Nghệ An,8,6.5,,7,6.75,,,,,,,
40000007,40,Nghệ An,5.75,5.5,,,,,5.25,5.75,,,,
40000008,40,Nghệ An,6.5,8.25,7,,,,,,,,,Giáo dục kinh tế pháp luật=6.25
40000009,40,Nghệ An,7,8.5,4.25,,7.5,,,,,,,
40000010,40,Nghệ An,6.75,8.75,5.25,,,,,8,,,,
40000011,40,Nghệ An,9,8.5,7.5,6.75,,,,,,,,
40000012,40,Nghệ An,8,8.5,6.75,,,,,6.6,,,,
40000013,40,Nghệ An,8.5,7.75,4.75,7,,,,,,,,
40000014,40,Nghệ An,9,7.5,9.5,7,,,,,,,,
40000015,40,Nghệ An,6,7.75,5,,,,9.25,,,,,
40000016,40,Nghệ An,8.5,8.25,7.75,,,,,7.1,,,,
40000017,40,Nghệ An,4.1,6.5,3,4.75,,,,,,,,
40000018,40,Nghệ An,7.25,7.75,4.75,7.6,,,,,,,,
40000019,40,Nghệ An,8,8.25,5.75,,,,,,,,,Giáo dục kinh tế pháp luật=8.25
40000020,40,Nghệ An,5.25,7.75,7,,,,7.25,,,,,
40000021,40,Nghệ An,7,7.75,5,,,,,,,,,Giáo dục kinh tế pháp luật=7.25
40000022,40,Nghệ An,9,8.5,6.25,,,,,,,,,Giáo dục kinh tế pháp luật=8.5
40000023,40,Nghệ An,4.25,7.5,5,,,,9.5,,,,,
40000024,40,Nghệ An,8.5,6.75,5.75,7.85,,,,,,,,
40000025,40,Nghệ An,8.5,8,6.5,8.25,,,,,,,,
40000026,40,Nghệ An,6.75,6.75,3.25,,,,6.6,,,,,
40000027,40,Nghệ An,9,7.75,7.75,8.5,,,,,,,,
40000028,40,Nghệ An,9,7.6,,7.5,8.5,,,,,,,
40000029,40,Nghệ An,6.5,7.25,4.5,,,,9,,,,,
40000030,40,Nghệ An,8.25,7,4.5,,,,,,,,,Giáo dục kinh tế pháp luật=4.85
40000031,40,Nghệ An,5.35,6,2.75,,,,4.6,,,,,
40000032,40,Nghệ An,7.75,8.25,7,,,,,,,,,Giáo dục kinh tế pháp luật=7.5
40000033,40,Nghệ An,9.5,6.25,5.75,9.25,,,,,,,,
40000034,40,Nghệ An,8.5,7.75,7,5.25,,,,,,,,
40000035,40,Nghệ An,4.25,5.75,,,,,4.6,5.1,,,,
40000036,40,Nghệ An,7,7.5,6.75,,,,6,,,,,
40000037,40,Nghệ An,7.25,6.5,6.5,5.75,,,,,,,,
40000038,40,Nghệ An,2.85,5.5,,,,,4.25,6.5,,,,
40000039,40,Nghệ An,9,7.25,7.25,8,,,,,,,,
40000040,40,Nghệ An,9,7,3,,,,4.25,,,,,
40000041,40,Nghệ An,7.5,8.5,8,,,,8.25,,,,,
40000042,40,Nghệ An,7.75,9,4.75,,,,7.75,,,,,
40000043,40,Nghệ An,6.75,7.5,3.5,6.25,,,,,,,,
40000044,40,Nghệ An,7,7.75,6.75,,,,9.75,,,,,
40000045,40,Nghệ An,3.75,6.75,4.75,,,,6.5,,,,,
40000046,40,Nghệ An,8,6.75,5,6.5,,,,,,,,
40000047,40,Nghệ An,6.5,8,4.25,,,,4.95,,,,,
40000048,40,Nghệ An,3.75,5.75,,,,,6.5,5.35,,,,
40000049,40,Nghệ An,8.5,6.75,6.25,6.75,,,,,,,,
40000050,40,Nghệ An,5.25,8.25,4.25,,,,6.25,,,,,
40000051,40,Nghệ An,6.75,7.5,,,,,5.1,,,,,
40000052,40,Nghệ An,5.5,7.28,,,,,,4.5,,,,Giáo dục kinh tế pháp luật=3.35
40000053,40,Nghệ An,8.25,6.75,6.25,6.85,,,,,,,,
40000054,40,Nghệ An,8.5,6.75,,6.25,6.5,,,,,,,
40000055,40,Nghệ An,9.5,7.5,7.5,6.85,,,,,,,,
