sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
42000001,42,Hà Tĩnh,5.75,6.25,,,,,,4.35,,,,Giáo dục kinh tế pháp luật=3.45
42000002,42,Hà Tĩnh,6.75,8.5,,,,,,7.25,,,,Giáo dục kinh tế pháp luật=6
42000003,42,Hà Tĩnh,7.5,7.5,,7,6.25,,,,,,,
42000004,42,Hà Tĩnh,6.5,7.25,,,,,,6.5,,,,Giáo dục kinh tế pháp luật=4.75
42000005,42,Hà Tĩnh,7.75,6.75,,7.35,6.5,,,,,,,
42000006,42,Hà Tĩnh,6.75,8,3.5,,,,,5.5,,,,
42000007,42,Hà Tĩnh,7.5,7.25,,5.75,7.5,,,,,,,
42000008,42,Hà Tĩnh,6.5,7.5,,,,,,6.5,,,,Giáo dục kinh tế pháp luật=6
42000009,42,Hà Tĩnh,6,7,,2.2,7.25,,,,,,,
42000010,42,Hà Tĩnh,7.5,7,7.5,7,,,,,,,,
42000011,42,Hà Tĩnh,6,7.75,,,,,,6.25,,,,Giáo dục kinh tế pháp luật=6.5
42000012,42,Hà Tĩnh,6.25,7.25,,,,,8.75,8.5,,,,
42000013,42,Hà Tĩnh,9.5,7.25,,8.25,7.75,,,,,,,
42000014,42,Hà Tĩnh,7.25,7.5,6,6.6,,,,,,,,
42000015,42,Hà Tĩnh,7.5,9.25,6.75,,,,7.5,,,,,
42000016,42,Hà Tĩnh,6.25,6.75,,,,,8.75,7.5,,,,
42000017,42,Hà Tĩnh,6.25,6.75,2.75,,,,,6.75,,,,
42000018,42,Hà Tĩnh,5.5,7.25,,,,,,5.85,,,,Giáo dục kinh tế pháp luật=5.25
42000019,42,Hà Tĩnh,6.5,8.25,3.75,,,,,7.35,,,,
42000020,42,Hà Tĩnh,7,7.75,4.75,,,,,8,,,,
42000021,42,Hà Tĩnh,5.5,7,3.5,,,,,5.35,,,,
42000022,42,Hà Tĩnh,8,8.5,7,,,,,7.25,,,,
42000023,42,Hà Tĩnh,4.25,7.25,,,,,,5.75,,,,Giáo dục kinh tế pháp luật=6
