sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
44000001,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=4; S&#x1EED;=4.85; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6.1
44000002,44,Quảng Trị,,,,,,,,,,,,V&#x103;n=5; S&#x1EED;=5.5; &#x110;&#x1ECB;a=4.35
44000003,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=6.75; L&#xED;=6.5; H&#xF3;a=8.25; V&#x103;n=7.25
44000004,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=8.25; L&#xED;=7.25; H&#xF3;a=8.5; V&#x103;n=7.25
44000005,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=3.85; V&#x103;n=5.75; S&#x1EED;=4.5; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=6.1
44000006,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.6; V&#x103;n=5.75; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=9.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5.6
44000007,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=7.25; S&#x1EED;=7.1; &#x110;&#x1ECB;a=4.6
44000008,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=7.75; S&#x1EED;=6.85; &#x110;&#x1ECB;a=7.85
44000009,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=4; S&#x1EED;=7; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5.3
44000010,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=3.75; V&#x103;n=6.5; S&#x1EED;=7.85; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5.35
44000011,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=5.6; L&#xED;=3.45; V&#x103;n=6.75; &#x110;&#x1ECB;a=5.25
44000012,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=5; S&#x1EED;=6.75; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.3
44000013,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=4; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=6.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.2
44000014,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=3.1; V&#x103;n=5; S&#x1EED;=4.75; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4
44000015,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=3.75; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=4.75; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=1.6
44000016,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=2.85; V&#x103;n=3.75; S&#x1EED;=2.75; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.7
44000017,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=7; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=7.35; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.35
44000018,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=7; H&#xF3;a=8; V&#x103;n=6.5
44000019,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=2; V&#x103;n=6; S&#x1EED;=5.35; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.85
44000020,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=3.85; V&#x103;n=6; S&#x1EED;=4.6; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.85
44000021,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.6; V&#x103;n=4.25; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=6.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.95
44000022,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=5.75; V&#x103;n=8; S&#x1EED;=9.25; Ngo&#x1EA1;i ng&#x1EEF;=4.25
44000023,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=3.25; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=6.35; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4
44000024,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=5.25; S&#x1EED;=6.1; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.35
44000026,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=7.75; L&#xED;=8; H&#xF3;a=8.5; V&#x103;n=6.25
44000027,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=7.25; L&#xED;=5.75; H&#xF3;a=7.75
44000028,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=2.75; V&#x103;n=6.25; S&#x1EED;=5.35; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.7
44000029,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=3.75; L&#xED;=4.1; V&#x103;n=3.75; S&#x1EED;=4.25
44000030,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=6.75; S&#x1EED;=6.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.45
44000031,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=3.5; V&#x103;n=7; S&#x1EED;=6.35; &#x110;&#x1ECB;a=6.5
44000032,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4; L&#xED;=2.6; V&#x103;n=4; S&#x1EED;=4.1
44000033,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=6.75; L&#xED;=6.5; H&#xF3;a=8; V&#x103;n=7.5
44000034,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=6.25; V&#x103;n=8.5; S&#x1EED;=5.95; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5.5
44000035,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=8; V&#x103;n=5.25; Ngo&#x1EA1;i ng&#x1EEF;=3.75; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=7.25
44000036,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=6.25; S&#x1EED;=6.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.95
44000037,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=3.5; V&#x103;n=7; S&#x1EED;=4.35; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.75
44000038,44,Quảng Trị,,,,,,,,,,,,V&#x103;n=4.75; S&#x1EED;=3.5; &#x110;&#x1ECB;a=4.25
44000039,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=5.5; S&#x1EED;=7; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.5
44000040,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=4.1; V&#x103;n=5; S&#x1EED;=4.6; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.45
44000041,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=7.75; L&#xED;=6.75; H&#xF3;a=8.25; V&#x103;n=7
44000042,44,Quảng Trị,,,,,,,,,,,,To&#xE1;n=8; L&#xED;=6.5; H&#xF3;a=8.5; V&#x103;n=5.25
