sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
46000001,46,Huế,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=6.5; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=7.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5
46000002,46,Huế,,,,,,,,,,,,To&#xE1;n=4.75; H&#xF3;a=5.25; V&#x103;n=6.75; Ngo&#x1EA1;i ng&#x1EEF;=5.5
46000003,46,Huế,,,,,,,,,,,,To&#xE1;n=6.25; L&#xED;=5.5; H&#xF3;a=5.6; V&#x103;n=5.25
46000004,46,Huế,,,,,,,,,,,,To&#xE1;n=7; L&#xED;=3.35; H&#xF3;a=4.25; V&#x103;n=1.75
46000005,46,Huế,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=6.75; S&#x1EED;=8.25; &#x110;&#x1ECB;a=7.5
46000006,46,Huế,,,,,,,,,,,,To&#xE1;n=7; V&#x103;n=7.25; &#x110;&#x1ECB;a=5.35; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=8
46000007,46,Huế,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=6; S&#x1EED;=5.2; Ngo&#x1EA1;i ng&#x1EEF;=4
46000008,46,Huế,,,,,,,,,,,,To&#xE1;n=5.5; V&#x103;n=6.5; S&#x1EED;=6.25; &#x110;&#x1ECB;a=4.1
46000009,46,Huế,,,,,,,,,,,,To&#xE1;n=5.75; V&#x103;n=7.75; &#x110;&#x1ECB;a=6.1; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5.25
46000010,46,Huế,,,,,,,,,,,,To&#xE1;n=4.85; V&#x103;n=6.5; S&#x1EED;=8.5; &#x110;&#x1ECB;a=7
46000011,46,Huế,,,,,,,,,,,,To&#xE1;n=6.5; L&#xED;=5.75; H&#xF3;a=6.1; V&#x103;n=6.25
46000012,46,Huế,,,,,,,,,,,,To&#xE1;n=5.5; V&#x103;n=6.75; &#x110;&#x1ECB;a=5.25; Ngo&#x1EA1;i ng&#x1EEF;=2
46000013,46,Huế,,,,,,,,,,,,To&#xE1;n=6; V&#x103;n=7.75; &#x110;&#x1ECB;a=4.75; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5
46000014,46,Huế,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=2.5; S&#x1EED;=2.6; &#x110;&#x1ECB;a=5.25
46000015,46,Huế,,,,,,,,,,,,To&#xE1;n=8; L&#xED;=8; V&#x103;n=6; C&#xF4;ng ngh&#x1EC7; c&#xF4;ng nghi&#x1EC7;p=10
46000016,46,Huế,,,,,,,,,,,,To&#xE1;n=4.35; V&#x103;n=7; &#x110;&#x1ECB;a=5.75; Ngo&#x1EA1;i ng&#x1EEF;=3.5
46000017,46,Huế,,,,,,,,,,,,To&#xE1;n=5.5; L&#xED;=4.35; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=5
46000018,46,Huế,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=6.75; S&#x1EED;=7.35; Ngo&#x1EA1;i ng&#x1EEF;=6.25
46000020,46,Huế,,,,,,,,,,,,To&#xE1;n=5.5; L&#xED;=2.35; H&#xF3;a=6.85; V&#x103;n=5.5
46000021,46,Huế,,,,,,,,,,,,To&#xE1;n=5.6; H&#xF3;a=3.2; V&#x103;n=6.25; Ngo&#x1EA1;i ng&#x1EEF;=4.5
46000022,46,Huế,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=4.6; H&#xF3;a=4.85; V&#x103;n=7
46000023,46,Huế,,,,,,,,,,,,To&#xE1;n=6; V&#x103;n=7; S&#x1EED;=8.25; &#x110;&#x1ECB;a=5.5
46000024,46,Huế,,,,,,,,,,,,To&#xE1;n=7.25; L&#xED;=4.75; V&#x103;n=7.25; Ngo&#x1EA1;i ng&#x1EEF;=3.25
46000025,46,Huế,,,,,,4.5,,,,,,To&#xE1;n=5; H&#xF3;a=6; V&#x103;n=6.5
46000026,46,Huế,,,,,,,,,,,,To&#xE1;n=3.7; V&#x103;n=6.5; S&#x1EED;=6.75; &#x110;&#x1ECB;a=6.75
46000027,46,Huế,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=4.1; V&#x103;n=6.25; S&#x1EED;=4
46000028,46,Huế,,,,,,6.75,,,,,,To&#xE1;n=6.5; H&#xF3;a=7.5; V&#x103;n=6
46000029,46,Huế,,,,,,7.75,,,,,,To&#xE1;n=9; H&#xF3;a=7.75; V&#x103;n=6
46000030,46,Huế,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=7.75; &#x110;&#x1ECB;a=7.75; Ngo&#x1EA1;i ng&#x1EEF;=4.75
46000031,46,Huế,,,,,,,,,,,,To&#xE1;n=6.25; L&#xED;=3.7; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=4.25
46000032,46,Huế,,,,,,,,,,5.85,,To&#xE1;n=4; V&#x103;n=6.25; S&#x1EED;=2.95
46000033,46,Huế,,,,,,,,,,,,To&#xE1;n=5.75; V&#x103;n=8.25; &#x110;&#x1ECB;a=6.35; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6.35
