sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
48000001,48,Đà Nẵng,7.75,7,4.75,7.5,,,,,,,,
48000002,48,Đà Nẵng,7.75,6,5,5.75,,,,,,,,
48000003,48,Đà Nẵng,7.25,5.75,4,,,,,,,6.5,,
48000004,48,Đà Nẵng,7.5,6.5,6.25,6.25,,,,,,,,
48000005,48,Đà Nẵng,7.25,8.5,5,4.25,,,,,,,,
48000006,48,Đà Nẵng,8,9,6.75,6.75,,,,,,,,
48000007,48,Đà Nẵng,9,6.25,9,8.35,,,,,,,,
48000008,48,Đà Nẵng,7.25,7,6.25,4.25,,,,,,,,
48000009,48,Đà Nẵng,5,5,5,4,,,,,,,,
48000010,48,Đà Nẵng,8.25,7.75,4.75,7,,,,,,,,
48000011,48,Đà Nẵng,7.5,7.5,5,5.85,,,,,,,,
48000012,48,Đà Nẵng,9,8,6.25,,8.5,,,,,,,
48000013,48,Đà Nẵng,8,5.75,8.5,6.25,,,,,,,,
48000014,48,Đà Nẵng,7,7.5,6.25,5,,,,,,,,
48000015,48,Đà Nẵng,5.25,7,,,,,9.75,7.25,,,,
48000016,48,Đà Nẵng,3.75,6.75,,,,,5.75,4.85,,,,
48000017,48,Đà Nẵng,6.75,6.75,5.25,5,,,,,,,,
48000018,48,Đà Nẵng,9,5.75,6.75,6.85,,,,,,,,
48000019,48,Đà Nẵng,5.75,6.75,4.25,4.75,,,,,,,,
48000020,48,Đà Nẵng,8.75,5.75,6,4.85,,,,,,,,
48000021,48,Đà Nẵng,6.75,8,4.5,5.5,,,,,,,,
48000022,48,Đà Nẵng,8.75,8.5,8.75,7.75,,,,,,,,
48000023,48,Đà Nẵng,7.5,4,6,3.6,,,,,,,,
48000024,48,Đà Nẵng,6,4.75,7.75,5.35,,,,,,,,
48000025,48,Đà Nẵng,4.1,7,2.75,,,,,6.75,,,,
48000026,48,Đà Nẵng,8.5,4.5,,6.25,,,,,,,,Công nghệ công nghiệp=9.75
48000027,48,Đà Nẵng,3.85,7.5,,,,,,,,,,Công nghệ nông nghiệp=5.75; Giáo dục kinh tế pháp luật=5
48000028,48,Đà Nẵng,8.5,5.5,4.5,7,,,,,,,,
48000029,48,Đà Nẵng,4.35,5.75,4.5,4.85,,,,,,,,
48000030,48,Đà Nẵng,8.25,7.75,4,7.25,,,,,,,,
48000031,48,Đà Nẵng,6.75,7.5,6,,6.85,,,,,,,
48000032,48,Đà Nẵng,8.25,8,5.5,7.75,,,,,,,,
48000033,48,Đà Nẵng,4.5,4.25,2.75,,3.5,,,,,,,
48000034,48,Đà Nẵng,8.5,7,7,6.85,,,,,,,,
48000035,48,Đà Nẵng,5.25,5.5,4,3.6,,,,,,,,
48000036,48,Đà Nẵng,5.75,3.5,4,4.1,,,,,,,,
48000037,48,Đà Nẵng,6.75,5.5,5.5,6,,,,,,,,
48000038,48,Đà Nẵng,7.25,7.75,8,4.35,,,,,,,,
48000039,48,Đà Nẵng,8.5,8,7,8,,,,,,,,
48000040,48,Đà Nẵng,3.75,6.5,,,,,,,,,,Công nghệ nông nghiệp=4.75; Giáo dục kinh tế pháp luật=5.25
48000041,48,Đà Nẵng,8.75,6.75,8,9.75,,,,,,,,
48000042,48,Đà Nẵng,4.75,7,,5.25,,,,,,,,Giáo dục kinh tế pháp luật=5
48000043,48,Đà Nẵng,7.75,5.75,7,5.75,,,,,,,,
48000044,48,Đà Nẵng,2.6,6.5,4.5,3.25,,,,,,,,
48000045,48,Đà Nẵng,7.75,6.5,7,,8,,,,,,,
48000046,48,Đà Nẵng,6,6.25,,4.25,,,,,,6,,
48000047,48,Đà Nẵng,9.5,8.25,6.75,8.5,,,,,,,,
48000048,48,Đà Nẵng,5,5,,2.25,,,,,,,,Giáo dục kinh tế pháp luật=2.85
48000049,48,Đà Nẵng,6.75,8.25,5.25,3.45,,,,,,,,
48000050,48,Đà Nẵng,7,5,,3.6,,,,,,6.25,,
48000051,48,Đà Nẵng,3.75,7.75,,,,,8.35,7,,,,
48000052,48,Đà Nẵng,9,5.5,8.25,7.75,,,,,,,,
48000053,48,Đà Nẵng,6.5,6.5,,5.35,,,3.7,,,,,
48000054,48,Đà Nẵng,7.5,8.75,6.75,8.25,,,,,,,,
48000055,48,Đà Nẵng,4.75,4.25,2.5,2.95,,,,,,,,
48000056,48,Đà Nẵng,7.25,7.25,4.25,5.5,,,,,,,,
48000057,48,Đà Nẵng,7.75,6.75,5.25,6.5,,,,,,,,
48000058,48,Đà Nẵng,6.5,7.5,,,,,7.1,6.75,,,,
48000059,48,Đà Nẵng,4.5,7.25,4.5,4.1,,,,,,,,
48000060,48,Đà Nẵng,7.5,6.5,4,5.75,,,,,,,,
48000061,48,Đà Nẵng,5,5,2.75,3.25,,,,,,,,
48000062,48,Đà Nẵng,6.25,6,,3.25,,,6.75,,,,,
48000063,48,Đà Nẵng,8.25,6.25,4,5.5,,,,,,,,
48000064,48,Đà Nẵng,7.25,5,6,5.85,,,,,,,,
48000065,48,Đà Nẵng,6.75,5.25,2.5,5.25,,,,,,,,
48000066,48,Đà Nẵng,8.5,7.25,6.5,6.75,,,,,,,,
48000067,48,Đà Nẵng,4.75,6.5,,3.85,,,5.75,,,,,
48000068,48,Đà Nẵng,5.75,5.75,4,5.1,,,,,,,,
48000069,48,Đà Nẵng,7.25,6,4.5,5.75,,,,,,,,
48000070,48,Đà Nẵng,7.25,4.75,5.25,7,,,,,,,,
48000071,48,Đà Nẵng,8.5,7.5,4.75,5.75,,,,,,,,
48000072,48,Đà Nẵng,4.1,5,2.75,2.6,,,,,,,,
48000073,48,Đà Nẵng,9,6.5,6.75,8.5,,,,,,,,
48000074,48,Đà Nẵng,4.75,7,,,,,7.5,7.75,,,,
48000075,48,Đà Nẵng,7.25,4.5,3.25,4.6,,,,,,,,
48000076,48,Đà Nẵng,3.6,2.75,2.5,2.35,,,,,,,,
48000077,48,Đà Nẵng,7.5,6.25,,5.5,,,,4,,,,
48000078,48,Đà Nẵng,7,4.75,2.75,3.35,,,,,,,,
48000079,48,Đà Nẵng,8.5,6,4,6,,,,,,,,
48000080,48,Đà Nẵng,6,6.25,4.25,3.85,,,,,,,,
48000081,48,Đà Nẵng,7.5,7.5,,6,,,,7.25,,,,
48000082,48,Đà Nẵng,8.75,6.75,2.75,5.5,,,,,,,,
48000083,48,Đà Nẵng,4.75,6.75,,,,,9,7,,,,
48000084,48,Đà Nẵng,6.25,8.5,2.5,2.5,,,,,,,,
48000085,48,Đà Nẵng,5.5,5.5,4.25,5,,,,,,,,
48000086,48,Đà Nẵng,8.5,8.25,5,7.75,,,,,,,,
48000087,48,Đà Nẵng,8.25,8.25,7.75,6.5,,,,,,,,
48000088,48,Đà Nẵng,8.5,7,4.75,6.25,,,,,,,,
48000089,48,Đà Nẵng,6,6.5,4.75,5.1,,,,,,,,
48000090,48,Đà Nẵng,9,8,7.5,6.5,,,,,,,,
48000091,48,Đà Nẵng,5.75,7.25,2.75,3.25,,,,,,,,
48000092,48,Đà Nẵng,8.25,6.25,5.25,5,,,,,,,,
48000093,48,Đà Nẵng,6.25,6.5,,4.2,,,,,,,,Giáo dục kinh tế pháp luật=4.5
48000094,48,Đà Nẵng,4.1,5.5,,,,,6.75,3.75,,,,
48000095,48,Đà Nẵng,8.5,4.25,,7.25,,,,,,7.75,,
48000096,48,Đà Nẵng,7.5,5.25,5,4.5,,,,,,,,
48000097,48,Đà Nẵng,7,6.5,4.5,4.25,,,,,,,,
48000098,48,Đà Nẵng,7.25,5.75,3.25,5.75,,,,,,,,
48000100,48,Đà Nẵng,5,7.5,5.5,,,,,,,,,Công nghệ nông nghiệp=8.25
48000101,48,Đà Nẵng,6.25,6,9,5,,,,,,,,
48000102,48,Đà Nẵng,6.25,4.25,4.5,3.25,,,,,,,,
48000103,48,Đà Nẵng,7.75,6,4.25,,,,,,,9.5,,
48000104,48,Đà Nẵng,7.5,6,5.25,2.1,,,,,,,,
48000105,48,Đà Nẵng,8.5,7.25,5.25,6.5,,,,,,,,
48000106,48,Đà Nẵng,4.75,4,2.75,4.75,,,,,,,,
