sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
51000001,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=8; L&#xED;=7.25; H&#xF3;a=7.25; V&#x103;n=7.25
51000002,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=6.5; H&#xF3;a=7.75; V&#x103;n=7.25
51000003,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=6.75; L&#xED;=3.75; H&#xF3;a=4.85; V&#x103;n=6.25
51000004,51,Quảng Ngãi,,,,,,5.25,,,,,,To&#xE1;n=2.75; H&#xF3;a=4.1; V&#x103;n=6.75
51000005,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5.5; V&#x103;n=6.25; &#x110;&#x1ECB;a=5.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5.85
51000006,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=3.25; S&#x1EED;=3.75; &#x110;&#x1ECB;a=2.6
51000007,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=7.25; S&#x1EED;=5.05; Ngo&#x1EA1;i ng&#x1EEF;=4.5
51000008,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=5.25; H&#xF3;a=8; V&#x103;n=8.25
51000009,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=7.5; S&#x1EED;=7.75; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=8.75
51000010,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=7; L&#xED;=4.1; V&#x103;n=6.75; Ngo&#x1EA1;i ng&#x1EEF;=2.75
51000011,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=7.5; L&#xED;=5.25; V&#x103;n=8.5; Ngo&#x1EA1;i ng&#x1EEF;=4
51000012,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=3.7; V&#x103;n=8.75; S&#x1EED;=7; &#x110;&#x1ECB;a=6.1
51000013,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.35; V&#x103;n=5.5; S&#x1EED;=4; Ngo&#x1EA1;i ng&#x1EEF;=2.25
51000014,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=3.75; V&#x103;n=3.5; S&#x1EED;=3.95; &#x110;&#x1ECB;a=2.85
51000015,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5.5; V&#x103;n=8; &#x110;&#x1ECB;a=7.75; Ngo&#x1EA1;i ng&#x1EEF;=3.5
51000016,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=7.5; S&#x1EED;=5; &#x110;&#x1ECB;a=4.5
51000018,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=6.5; L&#xED;=5.35; V&#x103;n=6.5; &#x110;&#x1ECB;a=5.85
51000019,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4; L&#xED;=3.5; V&#x103;n=6.75; S&#x1EED;=4.35
51000020,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=8.75; L&#xED;=6.5; H&#xF3;a=7.75; V&#x103;n=6.33
51000021,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=7.75; V&#x103;n=8.5; &#x110;&#x1ECB;a=6.75; Ngo&#x1EA1;i ng&#x1EEF;=4
51000022,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=6; V&#x103;n=7.75; S&#x1EED;=3.6; Ngo&#x1EA1;i ng&#x1EEF;=2.75
51000023,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=3.75; V&#x103;n=8; Ngo&#x1EA1;i ng&#x1EEF;=4.75
51000024,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=7; V&#x103;n=8.5; S&#x1EED;=7.25; Ngo&#x1EA1;i ng&#x1EEF;=5.75
51000025,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=8.25; L&#xED;=7.25; V&#x103;n=6.92; Ngo&#x1EA1;i ng&#x1EEF;=4.75
51000026,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=6; S&#x1EED;=3.85; &#x110;&#x1ECB;a=2.75
51000027,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=7.25; S&#x1EED;=4.85; &#x110;&#x1ECB;a=3
51000028,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=8; S&#x1EED;=5.1; &#x110;&#x1ECB;a=5.6
51000029,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.75; L&#xED;=2.85; V&#x103;n=6; S&#x1EED;=5.45
51000030,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=7.75; L&#xED;=4.5; H&#xF3;a=5.85; V&#x103;n=4.25
51000031,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=7.5; L&#xED;=5.5; H&#xF3;a=7.75; V&#x103;n=6
51000032,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=4.5; S&#x1EED;=6.5; &#x110;&#x1ECB;a=4.25
51000033,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4; L&#xED;=3.25; V&#x103;n=6.75; Ngo&#x1EA1;i ng&#x1EEF;=2
51000034,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=9.75; L&#xED;=7.5; H&#xF3;a=8.25; V&#x103;n=8
51000035,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=2.5; H&#xF3;a=3.85; V&#x103;n=6.25
51000036,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=3.75; S&#x1EED;=3.1; &#x110;&#x1ECB;a=2.45
51000037,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=2.6; V&#x103;n=5.75; S&#x1EED;=3.35; &#x110;&#x1ECB;a=3.25
51000038,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=4.75; V&#x103;n=7; &#x110;&#x1ECB;a=5.5
51000039,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=6; L&#xED;=4.75; V&#x103;n=8.5; Ngo&#x1EA1;i ng&#x1EEF;=3.75
51000040,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=6.25; L&#xED;=3.05; H&#xF3;a=4.5; V&#x103;n=6.5
51000041,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=3.75; V&#x103;n=4; S&#x1EED;=4; &#x110;&#x1ECB;a=3.2
51000042,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=5.5; S&#x1EED;=3.85; &#x110;&#x1ECB;a=3.6
51000043,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=3.75; L&#xED;=2.6; V&#x103;n=6.25; S&#x1EED;=6.25
51000044,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=7; L&#xED;=7; V&#x103;n=7.75; Ngo&#x1EA1;i ng&#x1EEF;=5.75
51000045,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=6.75; S&#x1EED;=3; &#x110;&#x1ECB;a=3.35
51000046,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=3.6; V&#x103;n=6.5; S&#x1EED;=4.5; &#x110;&#x1ECB;a=3.25
51000047,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=8; S&#x1EED;=5.25; Ngo&#x1EA1;i ng&#x1EEF;=6.25
51000048,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=4; S&#x1EED;=3; &#x110;&#x1ECB;a=2.2
51000049,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=3; S&#x1EED;=4.1; &#x110;&#x1ECB;a=2.2
51000050,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=4.5; S&#x1EED;=3; &#x110;&#x1ECB;a=3.5
51000051,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=7.5; &#x110;&#x1ECB;a=6.75; Ngo&#x1EA1;i ng&#x1EEF;=5
51000052,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=7.75; V&#x103;n=7; &#x110;&#x1ECB;a=5.85; Ngo&#x1EA1;i ng&#x1EEF;=3.5
51000053,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=8.5; S&#x1EED;=7.25; Ngo&#x1EA1;i ng&#x1EEF;=4.25
51000054,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.35; V&#x103;n=6.75; S&#x1EED;=2.6; &#x110;&#x1ECB;a=3.35
51000055,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.75; L&#xED;=5; H&#xF3;a=4.25; V&#x103;n=6.5
51000056,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=3.75; V&#x103;n=5; S&#x1EED;=5; &#x110;&#x1ECB;a=4.1
51000057,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=7.75; L&#xED;=3.45; V&#x103;n=6.25; Ngo&#x1EA1;i ng&#x1EEF;=3.75
51000058,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.75; L&#xED;=3.5; H&#xF3;a=5.25; V&#x103;n=6
51000059,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=8; L&#xED;=7; H&#xF3;a=6.25; V&#x103;n=6.75
51000060,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5.5; L&#xED;=4; H&#xF3;a=5; V&#x103;n=6.75
51000061,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=2.5; L&#xED;=4; V&#x103;n=6.25; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=8.75
51000062,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=4; S&#x1EED;=6; &#x110;&#x1ECB;a=4.6
51000063,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=6; S&#x1EED;=4.1; &#x110;&#x1ECB;a=3.6
51000064,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=6.75; S&#x1EED;=7.25; &#x110;&#x1ECB;a=5.25
51000065,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5; L&#xED;=4.25; H&#xF3;a=5.5; V&#x103;n=6.25
51000066,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=6.25; H&#xF3;a=7.25; V&#x103;n=8
51000067,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=6.25; L&#xED;=7.1; H&#xF3;a=6.25; V&#x103;n=6.5
51000068,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=5; L&#xED;=3.85; V&#x103;n=6.75; S&#x1EED;=6
51000069,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=2.75; V&#x103;n=7.5; S&#x1EED;=5.25; Ngo&#x1EA1;i ng&#x1EEF;=2.75
51000070,51,Quảng Ngãi,,,,,,,,,,,,To&#xE1;n=4.85; V&#x103;n=5; S&#x1EED;=5.25; &#x110;&#x1ECB;a=5
