sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
52000001,52,Gia Lai,,,,,,8.25,,,,,,To&#xE1;n=9; H&#xF3;a=9.25; V&#x103;n=7.75
52000002,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.75; L&#xED;=6.75; V&#x103;n=7.5; Ngo&#x1EA1;i ng&#x1EEF;=7
52000003,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.25; V&#x103;n=7.5; S&#x1EED;=9.75; Ngo&#x1EA1;i ng&#x1EEF;=6.5
52000004,52,Gia Lai,,,,,,5.25,,,,,,To&#xE1;n=7; H&#xF3;a=8.25; V&#x103;n=5.25
52000005,52,Gia Lai,,,,,,9.5,,,,,,To&#xE1;n=8.25; H&#xF3;a=9; V&#x103;n=7.5
52000006,52,Gia Lai,,,,,,5,,,,,,To&#xE1;n=7.75; V&#x103;n=7.5; Ngo&#x1EA1;i ng&#x1EEF;=6
52000007,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=4; V&#x103;n=5.25; Ngo&#x1EA1;i ng&#x1EEF;=4.5
52000008,52,Gia Lai,,,,,,,,,,6.5,,To&#xE1;n=7; V&#x103;n=6.5; Ngo&#x1EA1;i ng&#x1EEF;=7.75
52000009,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=10; L&#xED;=8.5; H&#xF3;a=8.5; V&#x103;n=7.25
52000010,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.25; H&#xF3;a=8; V&#x103;n=7.5; Ngo&#x1EA1;i ng&#x1EEF;=10
52000011,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8; L&#xED;=7.25; V&#x103;n=8; Ngo&#x1EA1;i ng&#x1EEF;=6.25
52000012,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.25; H&#xF3;a=7; V&#x103;n=7.5; Ngo&#x1EA1;i ng&#x1EEF;=8.5
52000013,52,Gia Lai,,,,,,8.75,,,,,,To&#xE1;n=8; H&#xF3;a=8.75; V&#x103;n=7.25
52000014,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.25; L&#xED;=7; V&#x103;n=8; Ngo&#x1EA1;i ng&#x1EEF;=8.25
52000015,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8; V&#x103;n=8.5; Ngo&#x1EA1;i ng&#x1EEF;=7.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6.75
52000016,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=6.75; V&#x103;n=7.75; Ngo&#x1EA1;i ng&#x1EEF;=6.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5
52000017,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=8; V&#x103;n=8.25; Ngo&#x1EA1;i ng&#x1EEF;=6.75
52000018,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5.75; V&#x103;n=7.75; S&#x1EED;=9; Ngo&#x1EA1;i ng&#x1EEF;=7.25
52000019,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=4.75; L&#xED;=3.5; V&#x103;n=6.25; Ngo&#x1EA1;i ng&#x1EEF;=7.5
52000020,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=2.75; V&#x103;n=6; S&#x1EED;=4.45; &#x110;&#x1ECB;a=6.75
52000021,52,Gia Lai,,,,,,5.5,,,,,,To&#xE1;n=5.5; V&#x103;n=5.75; Ngo&#x1EA1;i ng&#x1EEF;=3.75
52000022,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=5.75; Ngo&#x1EA1;i ng&#x1EEF;=5.25
52000023,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9.5; L&#xED;=7.75; H&#xF3;a=8.1; V&#x103;n=6.5
52000024,52,Gia Lai,,,,,,7.5,,,,,,To&#xE1;n=7; H&#xF3;a=5.75; V&#x103;n=7
52000025,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=5.5; Ngo&#x1EA1;i ng&#x1EEF;=3.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5.25
52000026,52,Gia Lai,,,,,,,,,,8.75,,To&#xE1;n=9; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=5.25
52000027,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=4.75; L&#xED;=2.6; V&#x103;n=6.75; Ngo&#x1EA1;i ng&#x1EEF;=4
52000028,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9.25; L&#xED;=9.5; H&#xF3;a=9.5; V&#x103;n=7
52000029,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5.75; V&#x103;n=8.25; Ngo&#x1EA1;i ng&#x1EEF;=4.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6
52000030,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=5.5; H&#xF3;a=3.5; V&#x103;n=6.5
52000031,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.75; L&#xED;=7.75; H&#xF3;a=8.5; V&#x103;n=7
52000032,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.25; L&#xED;=8.5; V&#x103;n=7.5; Ngo&#x1EA1;i ng&#x1EEF;=7.75
52000033,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7; V&#x103;n=4.75; S&#x1EED;=7; Ngo&#x1EA1;i ng&#x1EEF;=7.25
52000034,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=5.25; Ngo&#x1EA1;i ng&#x1EEF;=6.25
52000035,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=6.5; &#x110;&#x1ECB;a=4; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.85
52000036,52,Gia Lai,,,,,,5.5,,,,,,To&#xE1;n=6.5; V&#x103;n=6; Ngo&#x1EA1;i ng&#x1EEF;=8
52000037,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=7.75; &#x110;&#x1ECB;a=8; Ngo&#x1EA1;i ng&#x1EEF;=5
52000038,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=4.75; &#x110;&#x1ECB;a=6.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.95
52000039,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=9; V&#x103;n=8; Ngo&#x1EA1;i ng&#x1EEF;=9
52000040,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=6.25; L&#xED;=6.75; V&#x103;n=8.5; Ngo&#x1EA1;i ng&#x1EEF;=4.25
52000041,52,Gia Lai,,,,,,9,,,,,,To&#xE1;n=9; H&#xF3;a=8.25; V&#x103;n=6.5
52000042,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9.5; H&#xF3;a=8.75; V&#x103;n=9.25; Ngo&#x1EA1;i ng&#x1EEF;=8.75
52000043,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=6.5; V&#x103;n=7.75; Ngo&#x1EA1;i ng&#x1EEF;=7; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=7.5
52000044,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=6; &#x110;&#x1ECB;a=6.1; Ngo&#x1EA1;i ng&#x1EEF;=3.75
52000045,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.5; H&#xF3;a=8.5; V&#x103;n=8; Ngo&#x1EA1;i ng&#x1EEF;=7.5
52000046,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.75; L&#xED;=8.25; V&#x103;n=8.25; Ngo&#x1EA1;i ng&#x1EEF;=5.75
52000047,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.25; V&#x103;n=7.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=7.5
52000048,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.5; V&#x103;n=7.75; Ngo&#x1EA1;i ng&#x1EEF;=7.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6.75
52000049,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5.75; L&#xED;=5.6; V&#x103;n=8.25; Ngo&#x1EA1;i ng&#x1EEF;=8
52000050,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.6; H&#xF3;a=7; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=8.75
52000051,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7; L&#xED;=5.25; V&#x103;n=6.25; Ngo&#x1EA1;i ng&#x1EEF;=2.75
52000052,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=8; V&#x103;n=6.5; Ngo&#x1EA1;i ng&#x1EEF;=7
52000053,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.75; L&#xED;=8.5; V&#x103;n=6.75; Ngo&#x1EA1;i ng&#x1EEF;=8.25
52000054,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.5; L&#xED;=5.25; V&#x103;n=8.25; Ngo&#x1EA1;i ng&#x1EEF;=4.75
52000055,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7; V&#x103;n=7.75; Ngo&#x1EA1;i ng&#x1EEF;=6.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=7.5
52000056,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9.5; L&#xED;=8.75; V&#x103;n=8.75; Ngo&#x1EA1;i ng&#x1EEF;=8
52000057,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=6.5; H&#xF3;a=5.25; V&#x103;n=5.25; S&#x1EED;=6
52000058,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=9; H&#xF3;a=9.75; V&#x103;n=7.75
52000059,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=3; V&#x103;n=5; &#x110;&#x1ECB;a=4.85; Ngo&#x1EA1;i ng&#x1EEF;=3.25
52000060,52,Gia Lai,,,,,,8.25,,,,,,To&#xE1;n=7.25; H&#xF3;a=7.5; V&#x103;n=8.5
52000061,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=6.25; L&#xED;=5.2; H&#xF3;a=5; V&#x103;n=6.5
52000062,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5.5; V&#x103;n=8.5; S&#x1EED;=5.85; Ngo&#x1EA1;i ng&#x1EEF;=4
52000063,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9; H&#xF3;a=9.25; V&#x103;n=5.75; Ngo&#x1EA1;i ng&#x1EEF;=6.5
52000064,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.75; L&#xED;=7.75; V&#x103;n=8.5; Ngo&#x1EA1;i ng&#x1EEF;=6.25
52000065,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=3; V&#x103;n=4; S&#x1EED;=5.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5
52000066,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.25; L&#xED;=8.75; V&#x103;n=8.5; Ngo&#x1EA1;i ng&#x1EEF;=7.5
52000067,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8; H&#xF3;a=7.25; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=8.75
52000068,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5.5; L&#xED;=3.25; V&#x103;n=5; Ngo&#x1EA1;i ng&#x1EEF;=6
52000069,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7; L&#xED;=5.25; V&#x103;n=5; Ngo&#x1EA1;i ng&#x1EEF;=6.25
52000070,52,Gia Lai,,,,,,,,,,9,,To&#xE1;n=9.5; L&#xED;=8; V&#x103;n=7.25
52000071,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7; L&#xED;=3.25; H&#xF3;a=5; V&#x103;n=7
52000072,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=7.5; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=7.5
52000073,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.25; L&#xED;=7; V&#x103;n=7.25; Ngo&#x1EA1;i ng&#x1EEF;=9
52000074,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9.5; L&#xED;=9; V&#x103;n=5.75
52000075,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=6.5; L&#xED;=7; V&#x103;n=6.75; Ngo&#x1EA1;i ng&#x1EEF;=7.25
52000076,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=6.75; L&#xED;=5.35; V&#x103;n=6.75; Ngo&#x1EA1;i ng&#x1EEF;=4.25
52000077,52,Gia Lai,,,,,,6.5,,,,,,To&#xE1;n=6.75; H&#xF3;a=7.1; V&#x103;n=2
52000078,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8; L&#xED;=7.75; H&#xF3;a=7.6; V&#x103;n=7
52000079,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=5.25; H&#xF3;a=4.5; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=4.5
52000080,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.5; L&#xED;=6.25; V&#x103;n=6.75; Ngo&#x1EA1;i ng&#x1EEF;=6.25
52000081,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7.75; H&#xF3;a=7.25; V&#x103;n=6; Ngo&#x1EA1;i ng&#x1EEF;=6
52000082,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=8.25; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=7
52000083,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=8.25; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=6.75
52000084,52,Gia Lai,,,,,,9,,,,,,To&#xE1;n=8.5; H&#xF3;a=8.75; V&#x103;n=8
52000085,52,Gia Lai,,,,,,,,,,,,To&#xE1;n=7; L&#xED;=6.6; H&#xF3;a=8.5; V&#x103;n=7
