sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
66000001,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=5.5; V&#x103;n=4.75; S&#x1EED;=4.25; &#x110;&#x1ECB;a=2.2
66000002,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.2; V&#x103;n=6; S&#x1EED;=3.6; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.75
66000003,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=7; V&#x103;n=8; S&#x1EED;=8.25; Ngo&#x1EA1;i ng&#x1EEF;=5.25
66000004,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.1; V&#x103;n=5.5; S&#x1EED;=5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4
66000005,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.5; V&#x103;n=5.75; &#x110;&#x1ECB;a=3.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.45
66000007,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.85; V&#x103;n=5; S&#x1EED;=7.5; &#x110;&#x1ECB;a=6.75
66000008,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=5.75; S&#x1EED;=6.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6.5
66000009,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=6; V&#x103;n=6.25; S&#x1EED;=9.25; &#x110;&#x1ECB;a=8.5
66000010,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.5; V&#x103;n=4.75; S&#x1EED;=3; &#x110;&#x1ECB;a=3.2
66000011,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.75; V&#x103;n=7; S&#x1EED;=5.75; &#x110;&#x1ECB;a=6
66000012,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=1.7; V&#x103;n=5.25; &#x110;&#x1ECB;a=2.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.45
66000013,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=6.75; S&#x1EED;=3.1; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5
66000014,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.75; V&#x103;n=7; S&#x1EED;=9.75; Ngo&#x1EA1;i ng&#x1EEF;=4.75
66000015,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=5.5; S&#x1EED;=3.6; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6
66000016,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=5.25; S&#x1EED;=3.85; &#x110;&#x1ECB;a=4.75
66000017,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=5.1; V&#x103;n=5; S&#x1EED;=4.85; &#x110;&#x1ECB;a=3.45
66000018,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=5.75; &#x110;&#x1ECB;a=5.75; Ngo&#x1EA1;i ng&#x1EEF;=3.25
66000019,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=4.2; V&#x103;n=5; S&#x1EED;=6.45; &#x110;&#x1ECB;a=6
66000020,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=2.75; V&#x103;n=7; S&#x1EED;=4.7; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.75
66000021,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=6.25; V&#x103;n=6.25; S&#x1EED;=7.5; &#x110;&#x1ECB;a=5.6
66000022,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=7; L&#xED;=4.25; V&#x103;n=7.5; Ngo&#x1EA1;i ng&#x1EEF;=2.25
66000023,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=5.75; S&#x1EED;=4.1; Ngo&#x1EA1;i ng&#x1EEF;=2.5
66000024,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=4.75; S&#x1EED;=5.75; &#x110;&#x1ECB;a=3.35
66000025,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=7.75; S&#x1EED;=9; Ngo&#x1EA1;i ng&#x1EEF;=5
66000026,66,Đắk Lắk,,,,,,5.25,,,,,,To&#xE1;n=6.5; H&#xF3;a=4.5; V&#x103;n=5.5
66000027,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=7.5; V&#x103;n=7; S&#x1EED;=9.25; &#x110;&#x1ECB;a=7.75
66000028,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.35; V&#x103;n=4; S&#x1EED;=4.25; &#x110;&#x1ECB;a=2.85
66000029,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=5.75; V&#x103;n=6.5; S&#x1EED;=6.25; &#x110;&#x1ECB;a=6.35
66000030,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=5.25; S&#x1EED;=4.25; &#x110;&#x1ECB;a=5.5
66000032,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=2.35; V&#x103;n=4; &#x110;&#x1ECB;a=3.1; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3
66000033,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=4.75; S&#x1EED;=5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.95
66000034,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=4.5; S&#x1EED;=5.25; &#x110;&#x1ECB;a=2.75
66000035,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=7.25; L&#xED;=6.75; H&#xF3;a=7; V&#x103;n=5.5
66000036,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=5.6; L&#xED;=3.25; V&#x103;n=4.5; S&#x1EED;=4.6
66000037,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=9.5; L&#xED;=8.75; H&#xF3;a=7.75; V&#x103;n=4.5
66000038,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=4.75; S&#x1EED;=6; &#x110;&#x1ECB;a=4.25
66000039,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=2.1; V&#x103;n=4.5; S&#x1EED;=5.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.85
66000040,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=4.5; S&#x1EED;=4; &#x110;&#x1ECB;a=3.1
66000041,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=6.5; L&#xED;=5; H&#xF3;a=6.25; V&#x103;n=5.75
66000042,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.1; V&#x103;n=5.25; S&#x1EED;=6; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.75
66000043,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=3.5; V&#x103;n=5; &#x110;&#x1ECB;a=3.1; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.2
66000044,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=1.35; V&#x103;n=5; S&#x1EED;=4.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.5
66000045,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=5.5; V&#x103;n=5.25; S&#x1EED;=7; &#x110;&#x1ECB;a=5.35
66000046,66,Đắk Lắk,,,,,,,,,,,,To&#xE1;n=8.25; H&#xF3;a=8.25; V&#x103;n=5.25; Ngo&#x1EA1;i ng&#x1EEF;=7.5
