sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
80000001,80,Tây Ninh,7,2.25,,,3.5,6.25,,,,,,
80000002,80,Tây Ninh,7,3.75,,5,5,,,,,,,
80000003,80,Tây Ninh,5.5,3.25,,3.75,4,,,,,,,
80000004,80,Tây Ninh,5,6,,5,5.1,,,,,,,
80000005,80,Tây Ninh,3.5,6,,,,,3.5,,,,,Giáo dục kinh tế pháp luật=4.5
80000006,80,Tây Ninh,3,4.75,,,,,5.5,5,,,,
80000007,80,Tây Ninh,3.25,3.75,,2.75,,,5.1,,,,,
80000008,80,Tây Ninh,4.75,4.25,,,,,8,4.75,,,,
80000009,80,Tây Ninh,3.5,3.75,,,,,,5.85,,,,Giáo dục kinh tế pháp luật=4.35
80000010,80,Tây Ninh,4,3.5,3.25,4.5,,,,,,,,
80000011,80,Tây Ninh,9,5.75,5.75,7.75,,,,,,,,
80000012,80,Tây Ninh,5,6.75,3.75,,,,6.25,,,,,
80000013,80,Tây Ninh,7.25,5,7,6.75,,,,,,,,
80000014,80,Tây Ninh,3.75,4.25,,,,,5.2,2.8,,,,
80000015,80,Tây Ninh,6,5.75,,,6.25,7,,,,,,
80000016,80,Tây Ninh,4.5,5.5,,,,,6.5,6,,,,
80000017,80,Tây Ninh,6.75,6.5,,,6,6.6,,,,,,
80000018,80,Tây Ninh,6.25,6.25,,,6.25,5.75,,,,,,
80000019,80,Tây Ninh,3,4.5,,,,,5,,,,,Giáo dục kinh tế pháp luật=5.25
80000020,80,Tây Ninh,5,6.5,,,4,5.75,,,,,,
80000021,80,Tây Ninh,5,4.75,,3.25,,,7.5,,,,,
80000022,80,Tây Ninh,3.75,6.25,,,,,8.75,5.75,,,,
80000023,80,Tây Ninh,7,5.25,,6,7.5,,,,,,,
80000024,80,Tây Ninh,4.5,6,6,,,,8.75,,,,,
80000025,80,Tây Ninh,7.75,5.5,,,5,4.75,,,,,,
80000026,80,Tây Ninh,9.25,5.25,,4.25,,,6.35,,,,,
80000027,80,Tây Ninh,3.75,4,,2.45,2.85,,,,,,,
80000028,80,Tây Ninh,6.75,5.5,,6.6,6,,,,,,,
80000029,80,Tây Ninh,3.75,4.75,,,,,5.35,3.1,,,,
80000030,80,Tây Ninh,3.75,3.75,,,3.1,3.7,,,,,,
80000031,80,Tây Ninh,4.5,4.5,,,,,4.6,,,,,Giáo dục kinh tế pháp luật=3.35
80000032,80,Tây Ninh,3.85,4.5,,,,,4.85,3.35,,,,
80000033,80,Tây Ninh,4.25,3.25,,,3.35,5,,,,,,
