sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
82000001,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=7.1; L&#xED;=7.25; V&#x103;n=8.25; Ngo&#x1EA1;i ng&#x1EEF;=6.25
82000002,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=4.1; V&#x103;n=6.25; S&#x1EED;=4.25; &#x110;&#x1ECB;a=4
82000003,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=3.75; V&#x103;n=7.75; S&#x1EED;=6.6; Ngo&#x1EA1;i ng&#x1EEF;=3.5
82000004,82,Đồng Tháp,,,,,,,,,,,,V&#x103;n=7; S&#x1EED;=6.7; &#x110;&#x1ECB;a=6.25
82000005,82,Đồng Tháp,,,,,,5.5,,,,,,To&#xE1;n=6.25; H&#xF3;a=5.5; V&#x103;n=7.75
82000006,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=4.75; L&#xED;=2.85; V&#x103;n=5; S&#x1EED;=4.7
82000007,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=2.2; V&#x103;n=5.75; S&#x1EED;=5
82000008,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=3.6; V&#x103;n=6; S&#x1EED;=4.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.95
82000009,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=4.25; L&#xED;=3.25; V&#x103;n=5.75; S&#x1EED;=3.95
82000010,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=5.75; V&#x103;n=7.25; S&#x1EED;=7.1; &#x110;&#x1ECB;a=6.25
82000011,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=5.25; S&#x1EED;=5.35; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6.25
82000012,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=5.1; L&#xED;=4.1; H&#xF3;a=4.35; V&#x103;n=6
82000013,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=3; V&#x103;n=5.75; S&#x1EED;=5.1; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6.25
82000014,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=3.6; H&#xF3;a=4.6; V&#x103;n=5
82000015,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=5.75; L&#xED;=3.25; V&#x103;n=8; Ngo&#x1EA1;i ng&#x1EEF;=4.5
82000016,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=7.5; L&#xED;=6.75; H&#xF3;a=7.5; V&#x103;n=6.75
82000017,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=9.5; L&#xED;=7.75; H&#xF3;a=8.25; V&#x103;n=8
82000018,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=7.75; V&#x103;n=6.92; Ngo&#x1EA1;i ng&#x1EEF;=6.75
82000019,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=1.85; V&#x103;n=6; S&#x1EED;=4.1; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.85
82000020,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=5.08; S&#x1EED;=4.1; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5
82000021,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=4.85; L&#xED;=2.85; V&#x103;n=6; S&#x1EED;=4
82000022,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=7; S&#x1EED;=6.1; &#x110;&#x1ECB;a=5.35
82000023,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=2.25; V&#x103;n=4; S&#x1EED;=1.95; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.85
82000025,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=2.6; V&#x103;n=4.25; S&#x1EED;=4.45; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=2.6
82000026,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=8; S&#x1EED;=3.45; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5.6
82000027,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=3.5; V&#x103;n=6.75; S&#x1EED;=5.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=6.25
82000028,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=6.75; L&#xED;=4.75; H&#xF3;a=7.5; V&#x103;n=7
82000029,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=6; L&#xED;=4.5; V&#x103;n=5.25; S&#x1EED;=7
82000031,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=7; V&#x103;n=8; S&#x1EED;=8.75; Ngo&#x1EA1;i ng&#x1EEF;=4.5
82000032,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=2.1; V&#x103;n=6.25; S&#x1EED;=3.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.85
82000033,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=6; S&#x1EED;=5.75; &#x110;&#x1ECB;a=5.25
82000035,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=2.75; V&#x103;n=4.75; S&#x1EED;=2.75; &#x110;&#x1ECB;a=2.5
82000036,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=8.75; L&#xED;=6; H&#xF3;a=7; V&#x103;n=7
82000037,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=8.5; S&#x1EED;=8; Ngo&#x1EA1;i ng&#x1EEF;=6
82000038,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=7.25; &#x110;&#x1ECB;a=6.1; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=5.5
82000039,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=7.25; L&#xED;=5.75; V&#x103;n=6.75; Ngo&#x1EA1;i ng&#x1EEF;=5.25
82000040,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=4.75; L&#xED;=5.25; V&#x103;n=4.5; S&#x1EED;=5.85
82000041,82,Đồng Tháp,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=2.5; S&#x1EED;=5.85; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.35
