sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
86000001,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=7.5; L&#xED;=6.75; V&#x103;n=6; Ngo&#x1EA1;i ng&#x1EEF;=7
86000002,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.5; V&#x103;n=5; &#x110;&#x1ECB;a=9; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=9.5
86000003,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.75; L&#xED;=5.25; H&#xF3;a=5.75; V&#x103;n=8.25
86000004,86,Vĩnh Long,,,,,,5.1,,,,,,To&#xE1;n=7.75; H&#xF3;a=7.25; V&#x103;n=5.75
86000005,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=5.25; H&#xF3;a=6; V&#x103;n=6.5
86000006,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.75; L&#xED;=8; H&#xF3;a=7.25; V&#x103;n=5.75
86000007,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.25; L&#xED;=4.75; V&#x103;n=5.25; Ngo&#x1EA1;i ng&#x1EEF;=6.25
86000008,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=8; L&#xED;=7.5; H&#xF3;a=8.35; V&#x103;n=5.5
86000009,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=5.5; V&#x103;n=5.75; S&#x1EED;=8.5; &#x110;&#x1ECB;a=7
86000010,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=5.5; L&#xED;=3.7; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=5.25
86000011,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=5.75; L&#xED;=4.75; H&#xF3;a=5.5; V&#x103;n=4.5
86000012,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.5; V&#x103;n=5.58; S&#x1EED;=8; &#x110;&#x1ECB;a=6.35
86000013,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=5.75; V&#x103;n=6.25; &#x110;&#x1ECB;a=6; Ngo&#x1EA1;i ng&#x1EEF;=4.5
86000014,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=3.85; L&#xED;=4.5; H&#xF3;a=6.25; V&#x103;n=6.75
86000015,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.5; L&#xED;=6.25; H&#xF3;a=7.25; V&#x103;n=6.25
86000016,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=6.5; H&#xF3;a=7; V&#x103;n=8
86000017,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=3.6; V&#x103;n=5.5; S&#x1EED;=6.35; &#x110;&#x1ECB;a=5.5
86000018,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=5.42; S&#x1EED;=4.95; &#x110;&#x1ECB;a=5.75
86000019,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=9; L&#xED;=7.25; H&#xF3;a=7.25; V&#x103;n=5
86000020,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.75; L&#xED;=5.5; H&#xF3;a=8.1; V&#x103;n=6.5
86000021,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=3.75; V&#x103;n=4; &#x110;&#x1ECB;a=5.1; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=7.75
86000022,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=4; &#x110;&#x1ECB;a=5; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=8.5
86000023,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=8.25; L&#xED;=5.85; H&#xF3;a=6.75; V&#x103;n=6.25
86000024,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=8.75; H&#xF3;a=9; V&#x103;n=5.5
86000025,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=5; S&#x1EED;=7.25; Ngo&#x1EA1;i ng&#x1EEF;=5
86000026,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=5.75; &#x110;&#x1ECB;a=4.1; Ngo&#x1EA1;i ng&#x1EEF;=2.5
86000027,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.5; L&#xED;=6.75; H&#xF3;a=6.25; V&#x103;n=7
86000028,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=8; V&#x103;n=5.75; &#x110;&#x1ECB;a=7.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.7
86000029,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=4; &#x110;&#x1ECB;a=5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.25
86000030,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=7.25; L&#xED;=6.1; V&#x103;n=4.5; Ngo&#x1EA1;i ng&#x1EEF;=7.25
86000031,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.5; L&#xED;=6.75; H&#xF3;a=5.85; V&#x103;n=4.5
86000032,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=5.75; S&#x1EED;=7.85; Ngo&#x1EA1;i ng&#x1EEF;=7.5
86000033,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=4.75; V&#x103;n=6; Ngo&#x1EA1;i ng&#x1EEF;=6.75
86000034,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=4.6; L&#xED;=3.6; H&#xF3;a=1.95; V&#x103;n=6.25
86000035,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=6.5; L&#xED;=5; V&#x103;n=5; S&#x1EED;=6.1
86000036,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=4.25; V&#x103;n=4.25; S&#x1EED;=5.2; &#x110;&#x1ECB;a=4.6
86000037,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=2.95; V&#x103;n=5.5; S&#x1EED;=4.5; &#x110;&#x1ECB;a=3.45
86000038,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=4; S&#x1EED;=6.25; &#x110;&#x1ECB;a=4.6
86000039,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=4.5; H&#xF3;a=5; V&#x103;n=5.5; S&#x1EED;=8.35
86000040,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=7.5; L&#xED;=5.6; V&#x103;n=6.25
86000041,86,Vĩnh Long,,,,,,5.75,,,,,,To&#xE1;n=6.25; H&#xF3;a=7; V&#x103;n=6.75
86000042,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=4.75; V&#x103;n=5.25; S&#x1EED;=7.25; &#x110;&#x1ECB;a=6
86000043,86,Vĩnh Long,,,,,,,,,,,,To&#xE1;n=8.25; L&#xED;=7.5; H&#xF3;a=7.25; V&#x103;n=5.25
