sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
92000001,92,Cần Thơ,,,,,,,,,,6.5,,To&#xE1;n=7; V&#x103;n=8.25; Ngo&#x1EA1;i ng&#x1EEF;=3.75
92000002,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=8.5; S&#x1EED;=6; Ngo&#x1EA1;i ng&#x1EEF;=5
92000003,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=5.75; L&#xED;=4.5; H&#xF3;a=3.95; V&#x103;n=5.5
92000004,92,Cần Thơ,,,,,,8.25,,,,,,To&#xE1;n=8; H&#xF3;a=7; V&#x103;n=6.5
92000005,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=4.85; L&#xED;=4.2; V&#x103;n=8; Ngo&#x1EA1;i ng&#x1EEF;=4.25
92000006,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=2.1; L&#xED;=3.6; H&#xF3;a=2.85; V&#x103;n=5.75
92000007,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=4.5; V&#x103;n=5.75; &#x110;&#x1ECB;a=4.1; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=7.75
92000008,92,Cần Thơ,,,,,,4.85,,,,,,To&#xE1;n=6.5; L&#xED;=4.2; V&#x103;n=7.25
92000009,92,Cần Thơ,,,,,,5.1,,,,,,To&#xE1;n=3.35; V&#x103;n=7; S&#x1EED;=4.6
92000010,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=4.75; L&#xED;=3.75; V&#x103;n=5.25; Ngo&#x1EA1;i ng&#x1EEF;=3.25
92000011,92,Cần Thơ,,,,,,,,,,4.1,,To&#xE1;n=5.25; L&#xED;=3.7; V&#x103;n=6
92000012,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=5.25; V&#x103;n=7.25; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=8.75; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.6
92000013,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=4; V&#x103;n=5.75; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=5.75; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.95
92000014,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=5; V&#x103;n=6.5; S&#x1EED;=6.75; &#x110;&#x1ECB;a=5.75
92000015,92,Cần Thơ,,,,,,2.85,,,,,,To&#xE1;n=2.85; L&#xED;=1.75; V&#x103;n=4.25
92000016,92,Cần Thơ,,,,,,8.25,,,,,,To&#xE1;n=7.75; H&#xF3;a=7.5; V&#x103;n=7
92000017,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=7; L&#xED;=3.45; H&#xF3;a=5.75; V&#x103;n=7.5
92000018,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=6.5; L&#xED;=5; H&#xF3;a=4.75; V&#x103;n=5.75
92000019,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=7.5; L&#xED;=6.85; H&#xF3;a=5.5; V&#x103;n=6.5
92000020,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=8.25; L&#xED;=6.35; H&#xF3;a=7; V&#x103;n=6.25
92000021,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=6; H&#xF3;a=7.5; V&#x103;n=6
92000022,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=7.75; L&#xED;=5.5; V&#x103;n=8.75; Ngo&#x1EA1;i ng&#x1EEF;=3.75
92000023,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=6.25; H&#xF3;a=8; V&#x103;n=7.25
92000024,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=5.25; L&#xED;=3.5; H&#xF3;a=3.45; V&#x103;n=6
92000025,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=8.5; L&#xED;=6.1; V&#x103;n=7; Ngo&#x1EA1;i ng&#x1EEF;=5.75
92000026,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=3.5; V&#x103;n=4.5; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=4.75; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=3.6
92000027,92,Cần Thơ,,,,,,,,,,4.1,,To&#xE1;n=4.25; L&#xED;=3.6; V&#x103;n=5.75
92000028,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=2.1; V&#x103;n=5; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=7.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.1
92000029,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=2.75; V&#x103;n=5.25; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=7.25; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4.85
92000030,92,Cần Thơ,,,,,,,,,,,,To&#xE1;n=3.25; V&#x103;n=3.5; C&#xF4;ng ngh&#x1EC7; n&#xF4;ng nghi&#x1EC7;p=6.5; Gi&#xE1;o d&#x1EE5;c kinh t&#x1EBF; ph&#xE1;p lu&#x1EAD;t=4
