sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
96000001,96,Cà Mau,3.85,7.75,5.5,,,,,7.75,,,,
96000002,96,Cà Mau,4.75,5.75,,,,,5.35,,,5.35,,
96000003,96,Cà Mau,6.5,7.5,,4.75,,,6,,,,,
96000004,96,Cà Mau,7,8.25,9.75,8,,,,,,,,
96000005,96,Cà Mau,9.5,7.5,,,8.75,7.5,,,,,,
96000006,96,Cà Mau,2.75,4.75,,,,2.95,3.45,,,,,
96000007,96,Cà Mau,2.75,5.5,,,,,4,,,,,Giáo dục kinh tế pháp luật=3.55
96000008,96,Cà Mau,6.75,7.25,,,,,8.1,6,,,,
96000009,96,Cà Mau,9,8,,,7.35,7.5,,,,,,
96000010,96,Cà Mau,3.85,6.58,,,,4.25,,,,,,Công nghệ nông nghiệp=7.5
96000011,96,Cà Mau,4.75,6.75,2.5,,,,,6.6,,,,
96000012,96,Cà Mau,8.75,5.25,8.5,6.25,,,,,,,,
96000013,96,Cà Mau,10,6.75,6,7,,,,,,,,
96000014,96,Cà Mau,5.25,7.83,,,,,9.25,8.25,,,,
96000015,96,Cà Mau,6.5,7.5,5.75,,,,,7.75,,,,
96000016,96,Cà Mau,8,6.5,,7,8.75,,,,,,,
96000017,96,Cà Mau,5.25,6.25,3,,,,,,,5.25,,
96000018,96,Cà Mau,8.25,7.58,8.75,,,,8.25,,,,,
96000019,96,Cà Mau,7.75,7,,5,7,,,,,,,
96000020,96,Cà Mau,5,8,,,,,7.35,6.5,,,,
96000021,96,Cà Mau,4.35,7.25,,,,,5.85,,,,,Công nghệ nông nghiệp=9
96000022,96,Cà Mau,5.5,6.25,,6.25,4.5,,,,,,,
96000023,96,Cà Mau,2.55,5.5,,,,,6.1,,,4.25,,
96000024,96,Cà Mau,9,6.75,5,5.35,,,,,,,,
96000025,96,Cà Mau,7.5,8.25,5,,,,,,,,,Giáo dục kinh tế pháp luật=7.5
96000026,96,Cà Mau,7.75,8.75,8.5,6.75,,,,,,,,
96000027,96,Cà Mau,7.25,6,4.75,4,,,,,,,,
96000028,96,Cà Mau,8,8.5,,,7.75,8.5,,,,,,
96000029,96,Cà Mau,7,7.5,,,7.25,7.25,,,,,,
96000030,96,Cà Mau,4.75,6.75,,,,,,6.5,,,,Giáo dục kinh tế pháp luật=5.85
96000031,96,Cà Mau,2.85,6.75,4.5,,,,5.35,,,,,
96000032,96,Cà Mau,7,8.25,4.75,,,,6,,,,,
96000033,96,Cà Mau,8,8,6.75,,,,,,,,,Giáo dục kinh tế pháp luật=7
96000034,96,Cà Mau,7,5,7.5,7.25,,,,,,,,
96000035,96,Cà Mau,5.75,7,4.75,,,,9.5,,,,,
96000036,96,Cà Mau,7.5,6.5,,5.75,,,,,,6.5,,
96000037,96,Cà Mau,3.75,5.75,,,,,,5.5,,,,Giáo dục kinh tế pháp luật=6.25
96000038,96,Cà Mau,8.25,6.5,8.25,9,,,,,,,,
96000039,96,Cà Mau,3.25,5.5,,,,,,2.7,,,,Giáo dục kinh tế pháp luật=3.6
96000040,96,Cà Mau,8,6.5,,7.5,7.5,,,,,,,
96000041,96,Cà Mau,7.75,7.5,,,8.25,6.75,,,,,,
96000042,96,Cà Mau,8.5,8.75,7.5,,9.25,,,,,,,
96000043,96,Cà Mau,4.25,6.75,,,,,,3.5,,,,Giáo dục kinh tế pháp luật=3.85
96000044,96,Cà Mau,7.75,8,6.75,,,,,,,,,Giáo dục kinh tế pháp luật=6.25
96000045,96,Cà Mau,3.6,5.75,2.25,,,,,6.5,,,,
96000046,96,Cà Mau,2.5,5.5,,,,,4.35,,,,,Công nghệ nông nghiệp=7.5
96000047,96,Cà Mau,7.5,7.75,8.25,,,,,6.75,,,,
96000048,96,Cà Mau,9.5,6.25,,9.75,7.6,,,,,,,
96000049,96,Cà Mau,8.5,5,8,8,,,,,,,,
96000050,96,Cà Mau,3.6,7.5,,,,5.35,,,,,,Công nghệ nông nghiệp=9.5
96000051,96,Cà Mau,4.75,4.75,,,,,5.1,4.75,,,,
96000052,96,Cà Mau,8,7,,,7.75,7.1,,,,,,
96000053,96,Cà Mau,2.85,5.75,,,,5.1,,,,,,Công nghệ nông nghiệp=8
96000054,96,Cà Mau,7.75,7.5,,,8.25,8.25,,,,,,
96000055,96,Cà Mau,5.25,6.5,1.75,,,,,6.5,,,,
96000056,96,Cà Mau,9,6.75,,8,7.25,,,,,,,
96000057,96,Cà Mau,6.5,7.5,,6,8.25,,,,,,,
96000058,96,Cà Mau,3.75,5.75,,,,3.95,5,,,,,
96000059,96,Cà Mau,6.6,6,7.25,,,,8.1,,,,,
96000060,96,Cà Mau,3.5,5,,,,,,5.5,,,,Giáo dục kinh tế pháp luật=5.75
96000061,96,Cà Mau,9,6.25,,7.75,8.75,,,,,,,
96000062,96,Cà Mau,7.25,7.5,8.75,7.75,,,,,,,,
96000063,96,Cà Mau,7.75,7.5,7.25,,,,7.25,,,,,
96000064,96,Cà Mau,5,7,,3.25,,,,7,,,,
96000065,96,Cà Mau,2.75,4.5,,,,,,1.6,,,,Giáo dục kinh tế pháp luật=3.1
96000066,96,Cà Mau,4.5,5.5,,,,,,4.35,,,,Giáo dục kinh tế pháp luật=4.6
96000067,96,Cà Mau,10,6.25,,,9.5,9.25,,,,,,
